uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1109/icra40945.2020.9196857,Wasserstein Distributionally Robust Motion Planning and Control with Safety Constraints Using Conditional Value-at-Risk,,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),Astghik Hakobyan; Insoon Yang,10.1109/icra40945.2020.9196857,,https://doi.org/10.1109/icra40945.2020.9196857,crossref,task and motion planning robotics,anti_myopia,classic,,15,safety constraint; motion planning; task and motion planning,2026-06-12T15:07:36Z,21.586,25.586
doi:10.23919/ccc58697.2023.10241009,Time Optimal Planning-Based High-Speed Running Motion Generation for Humanoid Robots with Safety Constraints,,2023,2023 42nd Chinese Control Conference (CCC),Dingkun Liang; Chengzhi Gao; Ye Xie; Yulong Cui; Anhuan Xie; Yiming Wu; Jason Gu,10.23919/ccc58697.2023.10241009,,https://doi.org/10.23919/ccc58697.2023.10241009,crossref,sampling based motion planning,anti_myopia,anti_thesis,,,humanoid robot; safety constraint; motion planning; sampling based motion planning,2026-06-12T15:07:36Z,20.800,24.800
doi:10.1109/icra.2013.6630692,Provably-correct stochastic motion planning with safety constraints,,2013,2013 IEEE International Conference on Robotics and Automation,Chanyeol Yoo; Robert Fitch; Salah Sukkarieh,10.1109/icra.2013.6630692,,https://doi.org/10.1109/icra.2013.6630692,crossref,task and motion planning robotics,anti_myopia,classic,,18,safety constraint; motion planning; task and motion planning,2026-06-12T15:07:36Z,20.672,24.672
doi:10.1109/icma54519.2022.9856048,Laparoscopic automatic following motion planning of minimally invasive surgery robot based on safety constraints,,2022,2022 IEEE International Conference on Mechatronics and Automation (ICMA),Shuizhong Zou; Yuan Huang; Ziang Wang,10.1109/icma54519.2022.9856048,,https://doi.org/10.1109/icma54519.2022.9856048,crossref,sampling based motion planning,anti_myopia,anti_thesis,,,safety constraint; motion planning; sampling based motion planning,2026-06-12T15:07:36Z,20.600,24.600
doi:10.3390/s21030796,Learning-Based End-to-End Path Planning for Lunar Rovers with Safety Constraints,"Path planning is an essential technology for lunar rover to achieve safe and efficient autonomous exploration mission, this paper proposes a learning-based end-to-end path planning algorithm for lunar rovers with safety constraints. Firstly, a training environment integrating real lunar surface terrain data was built using the Gazebo simulation environment and a lunar rover simulator was created in it to simulate the real lunar surface environment and the lunar rover system. Then an end-to-end path planning algorithm based on deep reinforcement learning method is designed, including state space, action space, network structure, reward function considering slip behavior, and training method based on proximal policy optimization. In addition, to improve the generalization ability to different lunar surface topography and different scale environments, a variety of training scenarios were se",2021,Sensors,Xiaoqiang Yu; Ping Wang; Zexu Zhang,10.3390/s21030796,,https://doi.org/10.3390/s21030796,openalex,energy based model robot learning,concept,ebm,,61,safety constraint; generalization,2026-06-12T18:05:07Z,22.964,23.964
doi:10.4114/intartif.vol21iss62pp25-39,A Constraint-based Mission Planning Approach for Reconfigurable Multi-Robot Systems,"The application of reconfigurable multi-robot systems introduces additional degrees of freedom to design robotic missions compared to classical multi-robot systems. To allow for autonomous operation of such systems, planning approaches have to be investigated that cannot only cope with the combinatorial challenge arising from the increased flexibility of modular systems, but also exploit this flexibility to improve for example the safety of operation. While the problem originates from the domain of robotics it is of general nature and significantly intersects with operations research. This paper suggests a constraint-based mission planning approach, and presents a set of revised definitions for reconfigurable multi-robot systems including the representation of the planning problem using spatially and temporally qualified resource constraints. Planning is performed using a multi-stage app",2018,Inteligencia Artificial,Thomas M Roehr,10.4114/intartif.vol21iss62pp25-39,,https://doi.org/10.4114/intartif.vol21iss62pp25-39,crossref,robot world model failure planning,hostile,failure,,1,robot world model; multi robot system; robot world model failure,2026-06-12T15:07:36Z,18.947,23.947
doi:10.1109/icra.2018.8460185,Collision-Free Motion Planning for Human-Robot Collaborative Safety Under Cartesian Constraint,,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),Jen-Hao Chen; Kai-Tai Song,10.1109/icra.2018.8460185,,https://doi.org/10.1109/icra.2018.8460185,crossref,task and motion planning robotics,anti_myopia,classic,,68,motion planning; task and motion planning,2026-06-12T15:07:36Z,19.917,23.917
doi:10.1016/j.robot.2024.104823,Identification of physically consistent dynamics parameter of the ABB IRB 360-6/1600 delta robot and its use for time-optimal motion planning under consideration of constraint forces,,2024,Robotics and Autonomous Systems,Daniel Gnad; Hubert Gattringer; Andreas Müller; Wolfgang Höbarth; Roland Riepl; Lukas Meßner,10.1016/j.robot.2024.104823,,https://doi.org/10.1016/j.robot.2024.104823,crossref,task and motion planning robotics,anti_myopia,classic,,3,motion planning; task and motion planning,2026-06-12T15:07:36Z,19.693,23.693
doi:10.54254/2755-2721/2025.ast27134,Integrating Motion Planning in Vision Language Action Agents,"Vision-Language-Action (VLA) models integrate visual perception, natural language understanding, and embodied control into a unified framework, enabling end-to-end task execution from multimodal instructions. While such models have demonstrated impressive generalization across tasks and environments, their direct outputs—often in the form of discrete action tokens or waypoint sequences—frequently overlook key physical constraints, such as trajectory feasibility, collision avoidance, and dynamic consistency. This limitation hinders deployment in safety-critical and dynamic real-world settings. Integrating motion planning into VLA systems offers a principled solution, embedding geometric and dynamic constraints into the control pipeline to transform high-level semantic goals into safe, smooth, and executable trajectories. This work examines representative integration strategies alongside t",2025,Applied and Computational Engineering,Jianfeng Pang,10.54254/2755-2721/2025.ast27134,,https://doi.org/10.54254/2755-2721/2025.ast27134,crossref,vision language action model limitation robotics,hostile,failure,,,vision language action model; motion planning; limitation; generalization; deployment,2026-06-12T14:45:03Z,14.650,23.650
arxiv:2605.19209v1,Graph Neural Planning and Predictive Control for Multi-Robot Communication-Constrained Unlabeled Motion Planning,"The multi-robot unlabeled motion planning problem of concurrently assigning robots to goals and generating safe trajectories is central in many collaborative tasks. Recent Graph Neural Network methods offer scalable decentralized solutions but rely on simplified dynamics and simulation environments, overlooking key challenges of real-world deployment such as dynamic feasibility and communication constraints. To address these gaps, we propose a hierarchical framework that combines a Graph ATtention Planner (GATP) with a decentralized Nonlinear Model Predictive Controller (NMPC). GATP provides intermediate subgoals through multi-robot cooperation, and the NMPC enforces safety under nonlinear dynamics and actuation constraints. We evaluate our framework in both simulation and real-world quadrotor experiments. Thanks to attention mechanisms and minimal communication requirements, we demonstr",2026,arXiv,Manohari Goarin; Yang Zhou; Giuseppe Loianno,,2605.19209v1,http://arxiv.org/abs/2605.19209v1,arxiv,task and motion planning robotics,anti_myopia,classic,,,model predictive control; motion planning; task and motion planning; generalization; robustness; deployment,2026-06-12T15:07:36Z,14.450,23.450
arxiv:2406.16874v2,A Closed-Form Control for Safety Under Input Constraints Using a Composition of Control Barrier Functions,"We present a closed-form optimal control that satisfies both safety constraints (i.e., state constraints) and input constraints (e.g., actuator limits) using a composition of multiple control barrier functions (CBFs). This main contribution is obtained through the combination of several ideas. First, we present a method for constructing a single relaxed control barrier function (R-CBF) from multiple CBFs, which can have different relative degrees. The construction relies on a log-sum-exponential soft-minimum function and yields an R-CBF whose zero-superlevel set is a subset of the intersection of the zero-superlevel sets of all CBFs used in the composition. Next, we use the soft-minimum R-CBF to construct a closed-form control that is optimal with respect to a quadratic cost subject to the safety constraints. Finally, we use the soft-minimum R-CBF to develop a closed-form optimal control",2024,arXiv,Pedram Rabiee; Jesse B. Hoagg,,2406.16874v2,http://arxiv.org/abs/2406.16874v2,arxiv,control barrier functions robot learning,anti_myopia,control,,,safety constraint; control barrier function,2026-06-12T15:07:36Z,19.250,23.250
