method,stress_level,seeds,mean_success,ci95_success,mean_aborted,ci95_aborted,mean_repeated_abort,ci95_repeated_abort,mean_violation,ci95_violation,mean_boundary_f1,ci95_boundary_f1,mean_path_efficiency,ci95_path_efficiency
abort_constraint_discovery_v5,0.00,8,0.59375,0.14457,0.32812,0.12195,0.14062,0.05551,0.20312,0.09187,0.42797,0.01632,0.21510,0.05033
abort_constraint_discovery_v5,0.20,8,0.56250,0.13890,0.28125,0.11103,0.20312,0.07936,0.25000,0.10353,0.43110,0.00932,0.17510,0.03462
abort_constraint_discovery_v5,0.40,8,0.48438,0.10797,0.45312,0.11282,0.25000,0.09260,0.35938,0.07229,0.42590,0.01441,0.15269,0.03140
abort_constraint_discovery_v5,0.60,8,0.56250,0.15356,0.25000,0.06548,0.15625,0.07678,0.23438,0.08584,0.44186,0.01261,0.16518,0.04659
abort_constraint_discovery_v5,0.80,8,0.42188,0.07936,0.48438,0.13449,0.18750,0.06548,0.40625,0.12029,0.44281,0.01388,0.13799,0.02752
abort_constraint_discovery_v5,1.00,8,0.54688,0.10288,0.42188,0.13045,0.26562,0.10797,0.37500,0.11341,0.46651,0.01873,0.15662,0.02577
abort_constraint_discovery_v5,1.20,8,0.40625,0.06125,0.42188,0.14596,0.29688,0.09187,0.37500,0.10353,0.45954,0.02066,0.11466,0.01641
conformal_abort_risk_filter,0.00,8,0.70312,0.07936,0.57812,0.10288,0.39062,0.11748,0.54688,0.07936,0.41329,0.01416,0.29347,0.04012
conformal_abort_risk_filter,0.20,8,0.67188,0.07936,0.48438,0.10797,0.39062,0.09753,0.46875,0.10091,0.40162,0.01187,0.27599,0.03077
conformal_abort_risk_filter,0.40,8,0.54688,0.14596,0.67188,0.15313,0.56250,0.14642,0.62500,0.16039,0.38926,0.01334,0.21542,0.05378
conformal_abort_risk_filter,0.60,8,0.65625,0.11103,0.57812,0.09187,0.50000,0.08020,0.57812,0.09187,0.39690,0.01586,0.23137,0.03316
conformal_abort_risk_filter,0.80,8,0.54688,0.15313,0.62500,0.09260,0.51562,0.12627,0.56250,0.10353,0.38601,0.00896,0.20090,0.03463
conformal_abort_risk_filter,1.00,8,0.54688,0.12195,0.62500,0.13890,0.54688,0.13842,0.57812,0.14596,0.38350,0.00904,0.19256,0.04387
conformal_abort_risk_filter,1.20,8,0.45312,0.06445,0.64062,0.09753,0.57812,0.07936,0.62500,0.10353,0.38808,0.02053,0.17049,0.02254
constraint_classifier,0.00,8,0.65625,0.08966,0.59375,0.08966,0.45312,0.12195,0.48438,0.11748,0.39141,0.01497,0.27616,0.03927
constraint_classifier,0.20,8,0.62500,0.09260,0.54688,0.10288,0.46875,0.08966,0.50000,0.09260,0.38578,0.00729,0.26002,0.02808
constraint_classifier,0.40,8,0.51562,0.12627,0.65625,0.11103,0.57812,0.12195,0.59375,0.11103,0.37473,0.00874,0.22116,0.03855
constraint_classifier,0.60,8,0.51562,0.07229,0.62500,0.10353,0.57812,0.07936,0.57812,0.10288,0.39427,0.01816,0.20429,0.03216
constraint_classifier,0.80,8,0.48438,0.13449,0.71875,0.12029,0.62500,0.13096,0.67188,0.12195,0.39095,0.00938,0.17804,0.03600
constraint_classifier,1.00,8,0.50000,0.14642,0.57812,0.18484,0.51562,0.15659,0.57812,0.18484,0.39329,0.00795,0.19251,0.05402
constraint_classifier,1.20,8,0.45312,0.12195,0.68750,0.10353,0.65625,0.12890,0.64062,0.14224,0.39762,0.01774,0.16709,0.03356
costmap_from_collisions,0.00,8,0.51562,0.13449,0.68750,0.08020,0.60938,0.11748,0.64062,0.10797,0.42861,0.01982,0.23471,0.04857
costmap_from_collisions,0.20,8,0.54688,0.07936,0.76562,0.07229,0.60938,0.08584,0.68750,0.11341,0.40932,0.01963,0.21386,0.02325
costmap_from_collisions,0.40,8,0.50000,0.13890,0.84375,0.07678,0.71875,0.08966,0.78125,0.06125,0.39693,0.01333,0.17029,0.03046
costmap_from_collisions,0.60,8,0.50000,0.08020,0.78125,0.06125,0.67188,0.06445,0.71875,0.04010,0.40395,0.00997,0.18206,0.02094
costmap_from_collisions,0.80,8,0.45312,0.11282,0.84375,0.06125,0.71875,0.07678,0.75000,0.06548,0.39117,0.00847,0.15239,0.03035
costmap_from_collisions,1.00,8,0.45312,0.17895,0.82812,0.11282,0.76562,0.10797,0.81250,0.12250,0.39539,0.01211,0.14270,0.04067
costmap_from_collisions,1.20,8,0.29688,0.11282,0.84375,0.11103,0.78125,0.10091,0.84375,0.11103,0.39584,0.01729,0.12117,0.03558
kernel_trace_constraint_classifier,0.00,8,0.92188,0.04483,0.43750,0.10353,0.28125,0.10091,0.35938,0.11748,0.32510,0.01417,0.33549,0.03588
kernel_trace_constraint_classifier,0.20,8,0.81250,0.14642,0.48438,0.10797,0.32812,0.14596,0.40625,0.12029,0.31915,0.01214,0.28016,0.04028
kernel_trace_constraint_classifier,0.40,8,0.85938,0.08584,0.51562,0.13449,0.31250,0.13096,0.42188,0.13842,0.30882,0.01008,0.26955,0.03211
kernel_trace_constraint_classifier,0.60,8,0.82812,0.06445,0.46875,0.10091,0.32812,0.06445,0.42188,0.10288,0.31944,0.01109,0.25429,0.02950
kernel_trace_constraint_classifier,0.80,8,0.73438,0.07229,0.59375,0.08966,0.46875,0.08966,0.54688,0.09187,0.31499,0.00888,0.20807,0.02651
kernel_trace_constraint_classifier,1.00,8,0.62500,0.08020,0.57812,0.09187,0.48438,0.07229,0.56250,0.10353,0.32036,0.01207,0.18508,0.02057
kernel_trace_constraint_classifier,1.20,8,0.68750,0.11341,0.62500,0.09260,0.50000,0.12250,0.60938,0.10797,0.31835,0.01172,0.17599,0.02612
oracle_constraints,0.00,8,0.90625,0.06125,0.23438,0.07229,0.14062,0.08584,0.23438,0.07229,1.00000,0.00000,0.39674,0.03068
oracle_constraints,0.20,8,0.93750,0.06548,0.25000,0.13096,0.15625,0.06125,0.21875,0.12029,1.00000,0.00000,0.37057,0.03325
oracle_constraints,0.40,8,0.90625,0.07678,0.34375,0.14457,0.23438,0.15659,0.31250,0.14642,1.00000,0.00000,0.33000,0.05851
oracle_constraints,0.60,8,0.89062,0.05551,0.39062,0.10797,0.26562,0.08584,0.34375,0.07678,1.00000,0.00000,0.30383,0.02145
oracle_constraints,0.80,8,0.79688,0.07936,0.43750,0.13096,0.31250,0.09260,0.39062,0.11748,1.00000,0.00000,0.27578,0.03797
oracle_constraints,1.00,8,0.78125,0.11103,0.40625,0.10091,0.29688,0.07936,0.37500,0.09260,1.00000,0.00000,0.25398,0.02625
oracle_constraints,1.20,8,0.75000,0.12250,0.48438,0.05551,0.37500,0.11341,0.43750,0.08020,1.00000,0.00000,0.22891,0.01773
particle_constraint_belief,0.00,8,0.79688,0.13842,0.39062,0.12627,0.32812,0.14596,0.31250,0.10353,0.39878,0.01617,0.32179,0.04628
particle_constraint_belief,0.20,8,0.81250,0.13890,0.43750,0.13890,0.28125,0.15181,0.37500,0.13096,0.38784,0.01322,0.29520,0.04790
particle_constraint_belief,0.40,8,0.79688,0.09187,0.54688,0.14596,0.43750,0.14642,0.45312,0.15313,0.37422,0.01296,0.24436,0.03876
particle_constraint_belief,0.60,8,0.87500,0.06548,0.35938,0.09753,0.25000,0.04630,0.32812,0.10288,0.38364,0.01318,0.27509,0.01913
particle_constraint_belief,0.80,8,0.76562,0.09753,0.53125,0.12890,0.40625,0.13696,0.50000,0.16694,0.38768,0.00822,0.22286,0.03073
particle_constraint_belief,1.00,8,0.75000,0.10353,0.53125,0.15181,0.34375,0.15181,0.46875,0.15871,0.38468,0.01252,0.21212,0.04165
particle_constraint_belief,1.20,8,0.73438,0.12627,0.57812,0.11282,0.40625,0.12890,0.53125,0.12890,0.38804,0.01445,0.19891,0.03364
risk_filter_uncertainty,0.00,8,0.54688,0.13842,0.71875,0.10091,0.60938,0.11748,0.65625,0.11103,0.41850,0.02283,0.23205,0.04847
risk_filter_uncertainty,0.20,8,0.54688,0.12195,0.76562,0.10797,0.65625,0.06125,0.71875,0.12890,0.40194,0.01927,0.20575,0.02733
risk_filter_uncertainty,0.40,8,0.50000,0.10353,0.85938,0.05551,0.75000,0.06548,0.81250,0.06548,0.39125,0.01451,0.16802,0.01681
risk_filter_uncertainty,0.60,8,0.48438,0.08584,0.85938,0.05551,0.71875,0.08966,0.79688,0.04483,0.39892,0.01167,0.15907,0.02250
risk_filter_uncertainty,0.80,8,0.45312,0.10288,0.78125,0.10091,0.67188,0.12195,0.65625,0.12029,0.39098,0.01103,0.16521,0.03648
risk_filter_uncertainty,1.00,8,0.46875,0.13696,0.84375,0.08966,0.70312,0.13842,0.76562,0.11748,0.39495,0.00966,0.14468,0.03335
risk_filter_uncertainty,1.20,8,0.39062,0.12627,0.84375,0.08966,0.75000,0.08020,0.79688,0.07936,0.39594,0.01839,0.13173,0.03005
robust_barrier_mpc,0.00,8,0.73438,0.10797,0.50000,0.11341,0.39062,0.10797,0.42188,0.07936,0.39474,0.01616,0.29063,0.04482
robust_barrier_mpc,0.20,8,0.78125,0.08966,0.35938,0.09753,0.28125,0.08966,0.32812,0.10288,0.38488,0.01298,0.30176,0.02594
robust_barrier_mpc,0.40,8,0.68750,0.11341,0.57812,0.16654,0.48438,0.14958,0.48438,0.12627,0.37130,0.01113,0.22561,0.04368
robust_barrier_mpc,0.60,8,0.85938,0.09753,0.34375,0.12890,0.28125,0.12029,0.31250,0.12250,0.38270,0.01456,0.27131,0.02934
robust_barrier_mpc,0.80,8,0.68750,0.10353,0.53125,0.08966,0.43750,0.10353,0.48438,0.08584,0.39399,0.01202,0.21605,0.02291
robust_barrier_mpc,1.00,8,0.82812,0.10288,0.42188,0.09187,0.25000,0.08020,0.32812,0.07936,0.39194,0.01104,0.23737,0.02123
robust_barrier_mpc,1.20,8,0.60938,0.11748,0.54688,0.13045,0.45312,0.14596,0.54688,0.13045,0.38881,0.01335,0.18404,0.03221
