stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6890,0.0191
0.0,conformal_risk_filter,0.7112,0.0192
0.0,proposed_branch_mechanism,0.7631,0.0149
0.0,oracle_branch_upper_bound,0.8069,0.0148
0.2,scalar_uncertainty_planner,0.6293,0.0217
0.2,conformal_risk_filter,0.6683,0.0170
0.2,proposed_branch_mechanism,0.7317,0.0187
0.2,oracle_branch_upper_bound,0.7898,0.0162
0.4,scalar_uncertainty_planner,0.5755,0.0203
0.4,conformal_risk_filter,0.6205,0.0162
0.4,proposed_branch_mechanism,0.6974,0.0190
0.4,oracle_branch_upper_bound,0.7740,0.0158
0.6,scalar_uncertainty_planner,0.5202,0.0188
0.6,conformal_risk_filter,0.5840,0.0120
0.6,proposed_branch_mechanism,0.6683,0.0203
0.6,oracle_branch_upper_bound,0.7548,0.0180
0.8,scalar_uncertainty_planner,0.4581,0.0149
0.8,conformal_risk_filter,0.5331,0.0104
0.8,proposed_branch_mechanism,0.6390,0.0189
0.8,oracle_branch_upper_bound,0.7329,0.0193
1.0,scalar_uncertainty_planner,0.4067,0.0189
1.0,conformal_risk_filter,0.4883,0.0134
1.0,proposed_branch_mechanism,0.6086,0.0207
1.0,oracle_branch_upper_bound,0.7098,0.0183
