method,split,seed,episodes,success,tail_risk,aborted,repeated_abort,violation,abstained,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area
abort_constraint_discovery_v5,aggregate_hard_regime,7,56,0.87500,0.12500,0.25000,0.12500,0.23214,0.12500,0.42482,2.49286,0.15286,0.41685,0.26875,0.10850,0.17002,0.19635,0.19253
conformal_abort_risk_filter,aggregate_hard_regime,0,56,0.87500,0.12500,0.30357,0.19643,0.25000,0.00000,0.51139,2.25886,0.05342,0.38198,0.24114,0.06850,0.09976,0.10426,0.08945
conformal_abort_risk_filter,aggregate_hard_regime,1,56,0.87500,0.12500,0.33929,0.21429,0.28571,0.00000,0.49006,2.44890,0.07103,0.35813,0.22190,0.07031,0.09896,0.10661,0.08569
conformal_abort_risk_filter,aggregate_hard_regime,2,56,0.89286,0.10714,0.25000,0.17857,0.21429,0.00000,0.50611,2.21845,0.07250,0.38130,0.24061,0.06997,0.10484,0.10364,0.09308
conformal_abort_risk_filter,aggregate_hard_regime,3,56,0.91072,0.08929,0.30357,0.19643,0.26786,0.00000,0.50102,2.36614,0.06929,0.36089,0.22501,0.06913,0.10028,0.10567,0.08814
conformal_abort_risk_filter,aggregate_hard_regime,4,56,0.91072,0.08929,0.19643,0.10714,0.16071,0.00000,0.54736,1.96939,0.06716,0.37576,0.23757,0.06577,0.09495,0.09635,0.08348
conformal_abort_risk_filter,aggregate_hard_regime,5,56,0.91071,0.08929,0.30357,0.17857,0.26786,0.00000,0.50605,2.15537,0.06513,0.37228,0.23274,0.06681,0.09715,0.10254,0.08219
conformal_abort_risk_filter,aggregate_hard_regime,6,56,0.87500,0.12500,0.26786,0.17857,0.21429,0.00000,0.51107,2.29076,0.07119,0.39631,0.25109,0.06650,0.09617,0.10169,0.09033
conformal_abort_risk_filter,aggregate_hard_regime,7,56,0.89286,0.10714,0.21429,0.14286,0.17857,0.00000,0.53629,2.08405,0.07038,0.39262,0.24767,0.06517,0.09323,0.09366,0.08281
constraint_classifier,aggregate_hard_regime,0,56,0.85714,0.14286,0.32143,0.19643,0.25000,0.00000,0.50509,2.30249,0.05432,0.35930,0.22423,0.09935,0.14684,0.12485,0.17286
constraint_classifier,aggregate_hard_regime,1,56,0.83929,0.16071,0.35714,0.23214,0.33929,0.00000,0.48004,2.38964,0.06159,0.33566,0.20483,0.10071,0.14524,0.12718,0.16858
constraint_classifier,aggregate_hard_regime,2,56,0.87500,0.12500,0.28571,0.21429,0.26786,0.00000,0.49798,2.36767,0.06256,0.34482,0.21117,0.10429,0.15709,0.12439,0.18290
constraint_classifier,aggregate_hard_regime,3,56,0.85714,0.14286,0.33929,0.19643,0.30357,0.00000,0.49158,2.44687,0.06870,0.33490,0.20389,0.10149,0.14932,0.12819,0.17234
constraint_classifier,aggregate_hard_regime,4,56,0.89286,0.10714,0.23214,0.16071,0.17857,0.00000,0.52995,2.03598,0.06496,0.35496,0.21969,0.09566,0.14088,0.11849,0.16388
constraint_classifier,aggregate_hard_regime,5,56,0.89286,0.10714,0.33928,0.17857,0.28571,0.00000,0.50116,2.23349,0.06277,0.35372,0.21856,0.09722,0.14181,0.11422,0.16673
constraint_classifier,aggregate_hard_regime,6,56,0.87500,0.12500,0.30357,0.17857,0.21429,0.00000,0.49903,2.17610,0.06742,0.36486,0.22636,0.09682,0.14454,0.12151,0.17139
constraint_classifier,aggregate_hard_regime,7,56,0.91071,0.08929,0.19643,0.14286,0.12500,0.00000,0.54741,2.08112,0.07043,0.37364,0.23272,0.09342,0.13613,0.10931,0.16169
costmap_from_collisions,aggregate_hard_regime,0,56,0.83929,0.16071,0.42857,0.33929,0.39286,0.00000,0.46244,2.74037,0.05052,0.42243,0.27285,0.06091,0.06161,0.06106,0.08991
costmap_from_collisions,aggregate_hard_regime,1,56,0.83929,0.16071,0.48214,0.35714,0.46429,0.00000,0.44367,2.85820,0.07135,0.39701,0.25155,0.06325,0.06499,0.07001,0.08796
costmap_from_collisions,aggregate_hard_regime,2,56,0.85714,0.14286,0.46429,0.30357,0.37500,0.00000,0.45912,2.72457,0.05617,0.41506,0.26705,0.06196,0.06648,0.06682,0.09276
costmap_from_collisions,aggregate_hard_regime,3,56,0.85714,0.14286,0.39286,0.30357,0.33929,0.00000,0.48472,2.55852,0.05937,0.40671,0.25977,0.06105,0.06263,0.06390,0.08574
costmap_from_collisions,aggregate_hard_regime,4,56,0.87500,0.12500,0.33929,0.21429,0.25000,0.00000,0.51266,2.28202,0.05813,0.41551,0.26784,0.05780,0.05417,0.05647,0.08066
costmap_from_collisions,aggregate_hard_regime,5,56,0.85714,0.14286,0.44643,0.28571,0.37500,0.00000,0.47707,2.59373,0.05545,0.39666,0.25194,0.05957,0.05707,0.06002,0.08148
costmap_from_collisions,aggregate_hard_regime,6,56,0.87500,0.12500,0.37500,0.26786,0.25000,0.00000,0.49414,2.46554,0.07012,0.44210,0.28811,0.05780,0.05607,0.05423,0.08825
costmap_from_collisions,aggregate_hard_regime,7,56,0.89286,0.10714,0.37500,0.23214,0.30357,0.00000,0.49598,2.48019,0.06084,0.42192,0.27173,0.05848,0.05590,0.05413,0.08352
ignore_aborted_actions,aggregate_hard_regime,0,56,0.39286,0.60714,0.71429,0.69643,0.55357,0.00000,0.29488,3.60071,0.02727,0.00000,0.00000,0.06625,0.06625,0.00000,0.00000
ignore_aborted_actions,aggregate_hard_regime,1,56,0.35714,0.64285,0.69643,0.64285,0.53571,0.00000,0.28818,3.65040,0.04330,0.00000,0.00000,0.06559,0.06559,0.00000,0.00000
ignore_aborted_actions,aggregate_hard_regime,2,56,0.32143,0.67857,0.71428,0.69643,0.51785,0.00000,0.27296,3.67659,0.03546,0.00000,0.00000,0.06540,0.06540,0.00000,0.00000
ignore_aborted_actions,aggregate_hard_regime,3,56,0.37500,0.62500,0.73214,0.64286,0.60714,0.00000,0.30513,3.38714,0.04024,0.00000,0.00000,0.06394,0.06394,0.00000,0.00000
ignore_aborted_actions,aggregate_hard_regime,4,56,0.39286,0.60714,0.69643,0.64286,0.60714,0.00000,0.30697,3.49382,0.03228,0.00000,0.00000,0.06489,0.06489,0.00000,0.00000
ignore_aborted_actions,aggregate_hard_regime,5,56,0.30357,0.69643,0.73214,0.71429,0.60714,0.00000,0.26537,3.73263,0.03001,0.00000,0.00000,0.06503,0.06503,0.00000,0.00000
ignore_aborted_actions,aggregate_hard_regime,6,56,0.35714,0.64285,0.69643,0.66071,0.57143,0.00000,0.30294,3.52203,0.03735,0.00000,0.00000,0.06627,0.06627,0.00000,0.00000
ignore_aborted_actions,aggregate_hard_regime,7,56,0.37500,0.62500,0.69643,0.66072,0.51786,0.00000,0.29738,3.66664,0.03198,0.00000,0.00000,0.06616,0.06616,0.00000,0.00000
kernel_trace_constraint_classifier,aggregate_hard_regime,0,56,0.92857,0.07143,0.28571,0.16071,0.25000,0.00000,0.51916,2.27953,0.05180,0.29320,0.17530,0.13525,0.17187,0.09760,0.21397
kernel_trace_constraint_classifier,aggregate_hard_regime,1,56,0.92857,0.07143,0.35714,0.17857,0.32143,0.00000,0.48157,2.81825,0.06444,0.29221,0.17368,0.13514,0.17152,0.07991,0.21363
kernel_trace_constraint_classifier,aggregate_hard_regime,2,56,0.98214,0.01786,0.23214,0.08929,0.21429,0.01786,0.51502,2.14998,0.06816,0.29076,0.17195,0.13601,0.17533,0.08959,0.21581
kernel_trace_constraint_classifier,aggregate_hard_regime,3,56,0.94643,0.05357,0.26786,0.12500,0.25000,0.00000,0.49595,2.41850,0.06993,0.28263,0.16619,0.13384,0.16829,0.07461,0.20760
kernel_trace_constraint_classifier,aggregate_hard_regime,4,56,0.98214,0.01786,0.17857,0.08929,0.14286,0.00000,0.56229,1.85981,0.06496,0.29557,0.17621,0.12547,0.15722,0.07911,0.19551
kernel_trace_constraint_classifier,aggregate_hard_regime,5,56,0.98214,0.01786,0.30357,0.12500,0.19643,0.00000,0.50481,2.29686,0.06747,0.30399,0.18085,0.12589,0.15899,0.07279,0.19876
kernel_trace_constraint_classifier,aggregate_hard_regime,6,56,0.96429,0.03571,0.25000,0.16071,0.21429,0.00000,0.50618,2.57976,0.06512,0.31073,0.18619,0.13320,0.17000,0.08159,0.21533
kernel_trace_constraint_classifier,aggregate_hard_regime,7,56,0.98214,0.01786,0.17857,0.10714,0.16071,0.00000,0.54431,2.08767,0.07147,0.31656,0.19004,0.12464,0.15755,0.07280,0.19726
negative_label_baseline,aggregate_hard_regime,0,56,0.62500,0.37500,0.58929,0.42857,0.50000,0.00000,0.40321,3.03471,0.03445,0.24552,0.14424,0.05249,0.03978,0.03537,0.01839
negative_label_baseline,aggregate_hard_regime,1,56,0.60714,0.39286,0.60714,0.51786,0.46429,0.00000,0.36891,3.34195,0.04753,0.24785,0.14560,0.05296,0.03993,0.03682,0.01821
negative_label_baseline,aggregate_hard_regime,2,56,0.57143,0.42857,0.53571,0.51786,0.44643,0.00000,0.38536,3.25456,0.03963,0.25840,0.15449,0.05176,0.03843,0.03412,0.01901
negative_label_baseline,aggregate_hard_regime,3,56,0.62500,0.37500,0.58928,0.46429,0.48214,0.00000,0.39266,2.98073,0.04248,0.24953,0.14735,0.05168,0.03933,0.03804,0.01779
negative_label_baseline,aggregate_hard_regime,4,56,0.58929,0.41071,0.55357,0.46429,0.48214,0.00000,0.39483,3.03202,0.03966,0.22664,0.13313,0.05224,0.04029,0.03680,0.01716
negative_label_baseline,aggregate_hard_regime,5,56,0.71429,0.28571,0.55357,0.46429,0.50000,0.00000,0.41874,2.92523,0.03964,0.22228,0.12942,0.05286,0.04087,0.03107,0.01656
negative_label_baseline,aggregate_hard_regime,6,56,0.67857,0.32143,0.48214,0.37500,0.37500,0.00000,0.44631,2.88021,0.04009,0.25480,0.15068,0.05137,0.03811,0.03275,0.01782
negative_label_baseline,aggregate_hard_regime,7,56,0.60714,0.39286,0.64286,0.50000,0.50000,0.00000,0.36890,3.23418,0.03749,0.23908,0.14024,0.05270,0.03978,0.03298,0.01796
oracle_constraints,aggregate_hard_regime,0,56,0.91071,0.08929,0.21429,0.14286,0.21429,0.00000,0.54525,2.04709,0.07034,1.00000,1.00000,0.01141,0.03856,0.01009,0.06625
oracle_constraints,aggregate_hard_regime,1,56,0.94643,0.05357,0.23214,0.14286,0.23214,0.00000,0.56269,2.08734,0.09075,1.00000,1.00000,0.01121,0.03790,0.00930,0.06559
oracle_constraints,aggregate_hard_regime,2,56,0.98214,0.01786,0.21429,0.08929,0.21429,0.00000,0.56431,1.82549,0.07361,1.00000,1.00000,0.01124,0.03809,0.01003,0.06540
oracle_constraints,aggregate_hard_regime,3,56,0.96429,0.03571,0.19643,0.12500,0.17857,0.00000,0.56900,1.81955,0.08172,1.00000,1.00000,0.01108,0.03764,0.00931,0.06394
oracle_constraints,aggregate_hard_regime,4,56,0.94643,0.05357,0.19643,0.10714,0.17857,0.00000,0.56443,1.94955,0.07852,1.00000,1.00000,0.01117,0.03793,0.00680,0.06489
oracle_constraints,aggregate_hard_regime,5,56,1.00000,0.00000,0.08929,0.05357,0.07143,0.00000,0.59881,1.64046,0.07714,1.00000,1.00000,0.01115,0.03792,0.01159,0.06503
oracle_constraints,aggregate_hard_regime,6,56,0.98214,0.01786,0.14286,0.08929,0.12500,0.00000,0.57402,1.87702,0.07676,1.00000,1.00000,0.01146,0.03883,0.01078,0.06627
oracle_constraints,aggregate_hard_regime,7,56,0.94643,0.05357,0.17857,0.16071,0.17857,0.00000,0.55387,2.21047,0.07518,1.00000,1.00000,0.01130,0.03824,0.00920,0.06616
particle_constraint_belief,aggregate_hard_regime,0,56,0.92857,0.07143,0.32143,0.19643,0.26786,0.00000,0.47666,2.49880,0.06176,0.36947,0.23195,0.08787,0.13321,0.09749,0.14843
particle_constraint_belief,aggregate_hard_regime,1,56,0.91072,0.08929,0.21429,0.12500,0.17857,0.00000,0.47534,2.46637,0.08007,0.35390,0.21830,0.08646,0.12607,0.08413,0.13993
particle_constraint_belief,aggregate_hard_regime,2,56,0.96429,0.03571,0.25000,0.08929,0.19643,0.00000,0.48832,2.20478,0.07632,0.36523,0.22629,0.08853,0.13462,0.08624,0.14990
particle_constraint_belief,aggregate_hard_regime,3,56,0.98214,0.01786,0.25000,0.14286,0.19643,0.00000,0.47631,2.39036,0.07185,0.36579,0.22573,0.08539,0.12890,0.08571,0.14236
particle_constraint_belief,aggregate_hard_regime,4,56,1.00000,0.00000,0.16072,0.03571,0.07143,0.00000,0.54010,1.78600,0.07727,0.37434,0.23473,0.08034,0.11920,0.07815,0.13204
particle_constraint_belief,aggregate_hard_regime,5,56,1.00000,0.00000,0.19643,0.07143,0.10714,0.00000,0.51349,2.03265,0.07856,0.37078,0.23084,0.08164,0.11967,0.07984,0.13269
particle_constraint_belief,aggregate_hard_regime,6,56,0.94643,0.05357,0.26786,0.12500,0.17857,0.00000,0.48356,2.35269,0.08253,0.38791,0.24373,0.08379,0.12571,0.08478,0.14656
particle_constraint_belief,aggregate_hard_regime,7,56,0.96429,0.03571,0.16071,0.07143,0.12500,0.00000,0.53729,2.01182,0.08373,0.38844,0.24397,0.08135,0.12026,0.08365,0.13495
risk_filter_uncertainty,aggregate_hard_regime,0,56,0.78571,0.21429,0.33928,0.32143,0.28571,0.00000,0.47572,2.72911,0.04571,0.39846,0.25428,0.07083,0.11866,0.14737,0.09934
risk_filter_uncertainty,aggregate_hard_regime,1,56,0.85714,0.14286,0.44643,0.30357,0.32143,0.00000,0.46535,2.61015,0.05788,0.38782,0.24459,0.07141,0.11915,0.14407,0.09629
risk_filter_uncertainty,aggregate_hard_regime,2,56,0.85714,0.14286,0.39286,0.26786,0.26786,0.00000,0.47886,2.56453,0.05063,0.39923,0.25413,0.07102,0.12133,0.14234,0.10109
risk_filter_uncertainty,aggregate_hard_regime,3,56,0.83929,0.16071,0.35714,0.28571,0.25000,0.00000,0.48755,2.43289,0.05469,0.38958,0.24589,0.07022,0.11896,0.14191,0.09437
risk_filter_uncertainty,aggregate_hard_regime,4,56,0.89286,0.10714,0.33929,0.19643,0.30357,0.00000,0.51414,2.22051,0.05408,0.39020,0.24830,0.06839,0.11504,0.13607,0.09190
risk_filter_uncertainty,aggregate_hard_regime,5,56,0.85714,0.14286,0.39285,0.21429,0.32143,0.00000,0.49924,2.41911,0.04519,0.37773,0.23683,0.06905,0.11449,0.14017,0.09093
risk_filter_uncertainty,aggregate_hard_regime,6,56,0.89286,0.10714,0.37500,0.21429,0.21429,0.00000,0.50076,2.30389,0.06094,0.41603,0.26647,0.06795,0.11712,0.13473,0.09566
risk_filter_uncertainty,aggregate_hard_regime,7,56,0.87500,0.12500,0.35714,0.26786,0.25000,0.00000,0.49392,2.49027,0.05501,0.40504,0.25778,0.06851,0.11621,0.13829,0.09464
robust_barrier_mpc,aggregate_hard_regime,0,56,0.92857,0.07143,0.30357,0.16071,0.26786,0.00000,0.46639,2.38382,0.06160,0.36263,0.22663,0.09322,0.13816,0.09989,0.17030
robust_barrier_mpc,aggregate_hard_regime,1,56,0.94643,0.05357,0.33929,0.10715,0.32143,0.00000,0.45582,2.46260,0.08683,0.33954,0.20784,0.09558,0.13893,0.08848,0.16826
robust_barrier_mpc,aggregate_hard_regime,2,56,0.94643,0.05357,0.16071,0.12500,0.16071,0.00000,0.50018,2.14161,0.08616,0.35395,0.21733,0.09445,0.13925,0.09146,0.17310
robust_barrier_mpc,aggregate_hard_regime,3,56,0.96429,0.03571,0.28571,0.14286,0.25000,0.00000,0.44669,2.51052,0.07892,0.35354,0.21700,0.09244,0.13567,0.09083,0.16798
robust_barrier_mpc,aggregate_hard_regime,4,56,1.00000,0.00000,0.19643,0.07143,0.14286,0.00000,0.51529,1.99071,0.07754,0.36621,0.22848,0.08747,0.12778,0.08291,0.15728
robust_barrier_mpc,aggregate_hard_regime,5,56,0.96429,0.03571,0.19643,0.07143,0.14286,0.00000,0.50288,2.10361,0.08299,0.36751,0.22886,0.08716,0.12543,0.08520,0.15666
robust_barrier_mpc,aggregate_hard_regime,6,56,0.94643,0.05357,0.23214,0.10714,0.17857,0.00000,0.48577,2.23020,0.08912,0.38039,0.23840,0.08913,0.13154,0.09317,0.16763
robust_barrier_mpc,aggregate_hard_regime,7,56,0.92857,0.07143,0.21429,0.10714,0.17857,0.00000,0.49880,2.20537,0.08493,0.37581,0.23528,0.08902,0.13032,0.09193,0.16087
