method,split,seed,episodes,success,tail_risk,aborted,repeated_abort,violation,abstained,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area
abort_constraint_discovery,aggregate_hard_regime,0,56,0.85714,0.14286,0.37500,0.19643,0.28571,0.01786,0.43239,2.81713,0.07852,0.42184,0.27373,0.09480,0.13399,0.10849,0.16529
abort_constraint_discovery,aggregate_hard_regime,1,56,0.94643,0.05357,0.28571,0.10715,0.23214,0.01786,0.46922,2.39189,0.10731,0.41165,0.26384,0.09173,0.12552,0.07422,0.15165
abort_constraint_discovery,aggregate_hard_regime,2,56,0.89286,0.10714,0.28571,0.14286,0.21429,0.03571,0.45189,2.43727,0.09771,0.42233,0.27301,0.09396,0.13652,0.11076,0.16539
abort_constraint_discovery,aggregate_hard_regime,3,56,0.91071,0.08929,0.35714,0.10714,0.32143,0.05357,0.43161,2.62566,0.10102,0.42513,0.27305,0.09159,0.12710,0.11627,0.15875
abort_constraint_discovery,aggregate_hard_regime,4,56,0.89285,0.10715,0.37500,0.17857,0.28571,0.05357,0.44405,2.61526,0.11103,0.43794,0.28639,0.08936,0.12767,0.12166,0.15526
abort_constraint_discovery,aggregate_hard_regime,5,56,0.91072,0.08929,0.32143,0.14286,0.25000,0.03571,0.44996,2.48890,0.09685,0.42000,0.27125,0.08705,0.11922,0.09216,0.14839
abort_constraint_discovery,aggregate_hard_regime,6,56,0.92857,0.07143,0.32143,0.19643,0.26786,0.01786,0.44521,2.55983,0.09597,0.43411,0.28256,0.09575,0.14016,0.09394,0.17352
abort_constraint_discovery,aggregate_hard_regime,7,56,0.89286,0.10714,0.41071,0.19643,0.37500,0.00000,0.44183,3.10976,0.09449,0.43921,0.28687,0.09186,0.13248,0.08547,0.16560
abort_constraint_discovery_v5,aggregate_hard_regime,0,56,0.78572,0.21429,0.26786,0.12500,0.17857,0.19643,0.39501,1.94682,0.22584,0.39546,0.25257,0.11278,0.17268,0.27365,0.19153
abort_constraint_discovery_v5,aggregate_hard_regime,1,56,0.82143,0.17857,0.14286,0.05357,0.10714,0.16071,0.43270,1.90611,0.21456,0.39120,0.24782,0.10844,0.16244,0.21765,0.17745
abort_constraint_discovery_v5,aggregate_hard_regime,2,56,0.75000,0.25000,0.10714,0.08929,0.10714,0.21429,0.37838,1.83436,0.29891,0.40324,0.25764,0.11170,0.17616,0.28737,0.19357
abort_constraint_discovery_v5,aggregate_hard_regime,3,56,0.82143,0.17857,0.10714,0.01786,0.07143,0.16071,0.38960,1.92202,0.25253,0.41048,0.26150,0.10786,0.16508,0.22488,0.18512
abort_constraint_discovery_v5,aggregate_hard_regime,4,56,0.78571,0.21429,0.17857,0.05357,0.12500,0.21429,0.37608,1.80669,0.29162,0.41779,0.26993,0.10533,0.16390,0.27396,0.18107
abort_constraint_discovery_v5,aggregate_hard_regime,5,56,0.82143,0.17857,0.19643,0.10714,0.17857,0.12500,0.40780,2.15633,0.21146,0.40024,0.25657,0.10304,0.15643,0.20990,0.17606
abort_constraint_discovery_v5,aggregate_hard_regime,6,56,0.87500,0.12500,0.14286,0.03571,0.12500,0.12500,0.45076,1.87056,0.17499,0.40885,0.26262,0.11258,0.17713,0.20165,0.19903
