split,reference,comparison,paired_success_diff,ci95_success_diff,paired_violation_reduction,paired_repeated_abort_reduction,paired_boundary_f1_diff,paired_efficiency_diff,paired_discovered_area_diff,reference_better_seeds,seeds
hidden_wall_abort,abort_constraint_discovery_v5,particle_constraint_belief,-0.25893,0.11205,0.07143,0.04464,-0.03400,-0.16495,0.02249,0,8
hidden_wall_abort,abort_constraint_discovery_v5,risk_filter_uncertainty,-0.20536,0.12809,0.17857,0.17857,-0.11358,-0.15725,0.07689,1,8
hidden_wall_abort,abort_constraint_discovery_v5,robust_barrier_mpc,-0.20536,0.11360,0.17857,0.08036,-0.02938,-0.14491,0.01300,0,8
human_stop_constraint,abort_constraint_discovery_v5,abort_constraint_discovery,0.00000,0.00000,0.02678,0.00000,-0.00464,-0.00688,0.01861,0,8
human_stop_constraint,abort_constraint_discovery_v5,conformal_abort_risk_filter,0.00000,0.00000,0.00893,-0.00893,0.15930,-0.03542,0.06382,0,8
human_stop_constraint,abort_constraint_discovery_v5,constraint_classifier,0.00000,0.00000,-0.00893,0.01786,0.13106,-0.03436,-0.00638,0,8
human_stop_constraint,abort_constraint_discovery_v5,costmap_from_collisions,0.00000,0.00000,-0.01786,0.04464,0.10243,-0.04433,0.05442,0,8
human_stop_constraint,abort_constraint_discovery_v5,ignore_aborted_actions,0.43750,0.05573,-0.00893,0.43750,0.48483,0.12560,0.12445,8,8
human_stop_constraint,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,0.00000,0.00000,-0.06250,-0.02679,0.17573,-0.05241,-0.02858,0,8
human_stop_constraint,abort_constraint_discovery_v5,negative_label_baseline,0.11607,0.06447,-0.08036,0.16964,0.31873,-0.00391,0.11245,7,8
human_stop_constraint,abort_constraint_discovery_v5,oracle_constraints,0.00893,0.01750,0.00893,0.01786,-0.51517,-0.08742,0.06583,1,8
human_stop_constraint,abort_constraint_discovery_v5,particle_constraint_belief,0.00000,0.00000,-0.04464,-0.00893,0.11437,-0.01152,0.01867,0,8
human_stop_constraint,abort_constraint_discovery_v5,risk_filter_uncertainty,0.00000,0.00000,-0.11607,0.04464,0.11692,-0.04897,0.05521,0,8
human_stop_constraint,abort_constraint_discovery_v5,robust_barrier_mpc,0.00000,0.00000,-0.03571,-0.01786,0.12460,0.00717,-0.01434,0,8
nominal_known_constraints,abort_constraint_discovery_v5,abort_constraint_discovery,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00143,0.00005,0,8
nominal_known_constraints,abort_constraint_discovery_v5,conformal_abort_risk_filter,0.00000,0.00000,-0.00893,0.00000,-0.00893,0.00569,-0.00233,0,8
nominal_known_constraints,abort_constraint_discovery_v5,constraint_classifier,0.00000,0.00000,0.00893,0.00000,0.00893,0.00700,-0.00739,0,8
nominal_known_constraints,abort_constraint_discovery_v5,costmap_from_collisions,0.00000,0.00000,0.00000,0.00000,-0.00893,0.00053,-0.00324,0,8
nominal_known_constraints,abort_constraint_discovery_v5,ignore_aborted_actions,0.00000,0.00000,0.00000,0.00000,-0.22321,-0.00206,0.00032,0,8
nominal_known_constraints,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,0.00000,0.00000,0.00893,0.00000,0.00000,0.01206,-0.00990,0,8
nominal_known_constraints,abort_constraint_discovery_v5,negative_label_baseline,0.00000,0.00000,0.00893,0.00893,0.00893,0.00904,-0.00036,0,8
nominal_known_constraints,abort_constraint_discovery_v5,oracle_constraints,0.00000,0.00000,0.04464,0.01786,-0.22321,0.01458,0.00032,0,8
nominal_known_constraints,abort_constraint_discovery_v5,particle_constraint_belief,0.00000,0.00000,-0.00893,0.00000,-0.00893,0.01204,-0.00565,0,8
nominal_known_constraints,abort_constraint_discovery_v5,risk_filter_uncertainty,0.00000,0.00000,0.00000,0.00000,0.00000,0.00689,-0.00439,0,8
nominal_known_constraints,abort_constraint_discovery_v5,robust_barrier_mpc,0.00000,0.00000,0.00000,0.00000,0.00000,0.01828,-0.00984,0,8
