split,reference,comparison,paired_success_diff,ci95_success_diff,paired_violation_reduction,paired_repeated_abort_reduction,paired_boundary_f1_diff,paired_efficiency_diff,paired_discovered_area_diff,reference_better_seeds,seeds
combined_abort_stress,abort_constraint_discovery_v5,abort_constraint_discovery,-0.18750,0.05879,0.27679,0.19643,-0.01328,-0.05804,0.03445,0,8
combined_abort_stress,abort_constraint_discovery_v5,conformal_abort_risk_filter,-0.11607,0.06447,0.19643,0.30357,0.02541,-0.10121,0.13933,1,8
combined_abort_stress,abort_constraint_discovery_v5,constraint_classifier,-0.06250,0.06170,0.24107,0.33929,0.03982,-0.08952,0.02507,2,8
combined_abort_stress,abort_constraint_discovery_v5,costmap_from_collisions,0.00893,0.08948,0.51786,0.53572,0.00832,-0.01480,0.14592,3,8
combined_abort_stress,abort_constraint_discovery_v5,ignore_aborted_actions,0.51786,0.07826,0.58929,0.81250,0.43246,0.09231,0.28168,8,8
combined_abort_stress,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,-0.31250,0.06447,0.22321,0.18750,0.11073,-0.11233,-0.04205,0,8
combined_abort_stress,abort_constraint_discovery_v5,negative_label_baseline,0.35714,0.07000,0.66071,0.69643,0.18519,0.05976,0.25158,8,8
combined_abort_stress,abort_constraint_discovery_v5,oracle_constraints,-0.36607,0.05573,0.03571,0.03571,-0.56754,-0.19498,0.16486,0,8
combined_abort_stress,abort_constraint_discovery_v5,particle_constraint_belief,-0.32143,0.06481,0.06250,0.08929,0.03616,-0.13456,0.06322,0,8
combined_abort_stress,abort_constraint_discovery_v5,risk_filter_uncertainty,0.04464,0.07454,0.44643,0.50000,0.01622,-0.02422,0.12909,5,8
combined_abort_stress,abort_constraint_discovery_v5,robust_barrier_mpc,-0.33928,0.07366,0.10714,0.08036,0.03612,-0.13458,0.03972,0,8
force_limit_abort,abort_constraint_discovery_v5,abort_constraint_discovery,0.00000,0.00000,0.00893,0.00000,-0.03989,-0.01886,0.02507,0,8
force_limit_abort,abort_constraint_discovery_v5,conformal_abort_risk_filter,0.00000,0.00000,0.02679,0.00893,0.03939,-0.09986,0.11695,0,8
force_limit_abort,abort_constraint_discovery_v5,constraint_classifier,0.00000,0.00000,0.05357,0.00893,0.03181,-0.08774,0.06437,0,8
force_limit_abort,abort_constraint_discovery_v5,costmap_from_collisions,0.00000,0.00000,0.01786,0.00000,0.00346,-0.10723,0.10668,0,8
force_limit_abort,abort_constraint_discovery_v5,ignore_aborted_actions,0.28571,0.07000,0.33928,0.32143,0.38616,0.04266,0.15835,8,8
force_limit_abort,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,0.00000,0.00000,0.06250,0.00893,0.08153,-0.07964,0.04054,0,8
force_limit_abort,abort_constraint_discovery_v5,negative_label_baseline,0.02679,0.03683,0.14286,0.11607,0.20191,-0.07737,0.14952,2,8
force_limit_abort,abort_constraint_discovery_v5,oracle_constraints,0.04464,0.03683,0.14286,0.12500,-0.61384,-0.06806,0.11216,4,8
force_limit_abort,abort_constraint_discovery_v5,particle_constraint_belief,0.00000,0.00000,0.00893,0.00000,0.01759,-0.05694,0.08036,0,8
force_limit_abort,abort_constraint_discovery_v5,risk_filter_uncertainty,0.00000,0.00000,0.03571,0.00893,0.02045,-0.09975,0.10488,0,8
force_limit_abort,abort_constraint_discovery_v5,robust_barrier_mpc,0.00000,0.00000,0.00893,0.00000,0.04092,-0.03601,0.04876,0,8
hidden_wall_abort,abort_constraint_discovery_v5,abort_constraint_discovery,-0.16071,0.07826,0.24107,0.13393,-0.02624,-0.07172,0.02813,0,8
hidden_wall_abort,abort_constraint_discovery_v5,conformal_abort_risk_filter,-0.18750,0.11205,0.12500,0.08929,-0.11169,-0.19061,0.08049,0,8
hidden_wall_abort,abort_constraint_discovery_v5,constraint_classifier,-0.16964,0.08340,0.13393,0.08036,0.00843,-0.18691,-0.01506,0,8
hidden_wall_abort,abort_constraint_discovery_v5,costmap_from_collisions,-0.18750,0.10226,0.29464,0.26785,-0.15086,-0.12097,0.09602,1,8
hidden_wall_abort,abort_constraint_discovery_v5,ignore_aborted_actions,0.58928,0.10161,0.77678,0.80357,0.31860,0.20009,0.18370,8,8
hidden_wall_abort,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,-0.26786,0.10500,0.08929,0.04464,0.06124,-0.19269,-0.05067,0,8
hidden_wall_abort,abort_constraint_discovery_v5,negative_label_baseline,0.25893,0.13984,0.58928,0.58036,-0.05583,0.05963,0.16318,8,8
hidden_wall_abort,abort_constraint_discovery_v5,oracle_constraints,-0.25893,0.10889,-0.05357,-0.02679,-0.68140,-0.28816,0.14356,0,8
