method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_aborted,ci95_aborted,mean_repeated_abort,ci95_repeated_abort,mean_violation,ci95_violation,mean_abstained,ci95_abstained,mean_path_efficiency,ci95_path_efficiency,mean_completion_time,ci95_completion_time,mean_safety_margin,ci95_safety_margin,mean_boundary_f1,ci95_boundary_f1,mean_boundary_iou,ci95_boundary_iou,mean_calibration_brier,ci95_calibration_brier,mean_calibration_ece,ci95_calibration_ece,mean_chosen_path_risk,ci95_chosen_path_risk,mean_discovered_area,ci95_discovered_area
abort_constraint_discovery,combined_abort_stress,8,0.73214,0.04387,0.26786,0.04387,0.58036,0.10053,0.36607,0.08128,0.53571,0.08775,0.04464,0.02562,0.24119,0.02737,4.68963,0.65566,0.01629,0.01899,0.44574,0.01229,0.28910,0.01008,0.14440,0.00290,0.17235,0.00762,0.17987,0.01791,0.24723,0.01188
abort_constraint_discovery,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.04464,0.04535,0.00000,0.00000,0.04464,0.04535,0.00000,0.00000,0.57903,0.01784,1.54278,0.05657,0.18859,0.00995,0.42606,0.01401,0.27870,0.01080,0.07196,0.00221,0.14264,0.00521,0.05204,0.00511,0.13328,0.00528
abort_constraint_discovery,hidden_wall_abort,8,0.88393,0.05250,0.11607,0.05250,0.52679,0.06447,0.22321,0.05573,0.36607,0.05573,0.07143,0.04583,0.44629,0.02363,2.43713,0.19074,0.01491,0.00281,0.34484,0.00912,0.20924,0.00679,0.09356,0.00313,0.12321,0.00425,0.14549,0.04308,0.15558,0.00471
abort_constraint_discovery,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.21429,0.07483,0.04464,0.04535,0.16964,0.05879,0.00000,0.00000,0.51658,0.01711,1.85331,0.11747,0.17167,0.01578,0.48947,0.02067,0.32830,0.01634,0.05813,0.00316,0.08313,0.01020,0.02408,0.00480,0.10584,0.01092
abort_constraint_discovery,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.87594,0.00685,0.97027,0.01133,1.00000,0.00000,0.77679,0.08548,0.77679,0.08548,0.00020,0.00008,0.00059,0.00023,0.00026,0.00018,0.00027,0.00009
abort_constraint_discovery_v5,combined_abort_stress,8,0.54464,0.05879,0.45536,0.05879,0.29464,0.10395,0.16964,0.07910,0.25893,0.08340,0.40179,0.07910,0.18315,0.02273,2.86384,0.51637,0.28442,0.07274,0.43246,0.01151,0.27781,0.00922,0.16311,0.00277,0.21056,0.00934,0.50042,0.05748,0.28168,0.01253
abort_constraint_discovery_v5,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.04464,0.03683,0.00000,0.00000,0.03571,0.03742,0.00000,0.00000,0.56016,0.01740,1.61692,0.05662,0.19080,0.00961,0.38616,0.01220,0.24554,0.00872,0.08810,0.00263,0.17713,0.00603,0.07027,0.00698,0.15835,0.00589
abort_constraint_discovery_v5,hidden_wall_abort,8,0.72321,0.10395,0.27679,0.10395,0.19643,0.07826,0.08929,0.05766,0.12500,0.06874,0.25893,0.10225,0.37457,0.05986,1.61372,0.28556,0.24887,0.11624,0.31860,0.01215,0.19032,0.00875,0.11616,0.00412,0.17175,0.00522,0.33573,0.09276,0.18370,0.00580
abort_constraint_discovery_v5,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.16071,0.07826,0.04464,0.02562,0.14286,0.06481,0.00000,0.00000,0.50969,0.01814,1.87339,0.11274,0.18729,0.01544,0.48483,0.02178,0.32503,0.01575,0.06775,0.00412,0.11248,0.01173,0.03629,0.00519,0.12445,0.01266
abort_constraint_discovery_v5,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.87451,0.00835,0.97412,0.01601,1.00000,0.00000,0.77679,0.09331,0.77679,0.09331,0.00049,0.00020,0.00291,0.00122,0.00154,0.00103,0.00032,0.00014
conformal_abort_risk_filter,combined_abort_stress,8,0.66072,0.05123,0.33928,0.05123,0.50000,0.09165,0.47321,0.10563,0.45536,0.07910,0.00000,0.00000,0.28436,0.03068,3.92272,0.37394,0.00275,0.00474,0.40704,0.00994,0.25733,0.00787,0.10537,0.00236,0.10135,0.00271,0.15575,0.00781,0.14235,0.00352
conformal_abort_risk_filter,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.06250,0.03172,0.00893,0.01750,0.06250,0.03172,0.00000,0.00000,0.66002,0.01335,1.34877,0.05116,0.14554,0.01275,0.34677,0.01789,0.21783,0.01283,0.04561,0.00138,0.07379,0.00290,0.05906,0.00511,0.04140,0.00235
conformal_abort_risk_filter,hidden_wall_abort,8,0.91071,0.02291,0.08929,0.02291,0.29464,0.08128,0.17857,0.04583,0.25000,0.05916,0.00000,0.00000,0.56518,0.03194,1.86507,0.13919,0.01839,0.00332,0.43029,0.00988,0.27525,0.00791,0.06156,0.00128,0.13648,0.00375,0.12346,0.00757,0.10321,0.00320
conformal_abort_risk_filter,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.23214,0.05123,0.03571,0.03742,0.15179,0.04131,0.00000,0.00000,0.54512,0.02285,1.75939,0.13075,0.10336,0.01038,0.32553,0.01736,0.19846,0.01244,0.05854,0.00226,0.08106,0.00695,0.06895,0.00494,0.06063,0.00542
conformal_abort_risk_filter,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.86882,0.00915,0.97668,0.01269,1.00000,0.00000,0.78572,0.08775,0.78572,0.08775,0.00519,0.00119,0.05425,0.00294,0.04971,0.00179,0.00266,0.00129
constraint_classifier,combined_abort_stress,8,0.60715,0.05916,0.39286,0.05916,0.55357,0.09069,0.50893,0.10396,0.50000,0.10247,0.00000,0.00000,0.27267,0.03095,3.90911,0.37233,0.00156,0.00489,0.39264,0.00975,0.24599,0.00770,0.14670,0.00270,0.17660,0.00424,0.23141,0.00867,0.25662,0.00474
constraint_classifier,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.09822,0.04535,0.00893,0.01750,0.08929,0.05124,0.00000,0.00000,0.64791,0.02452,1.39267,0.08144,0.13899,0.01244,0.35435,0.01638,0.22179,0.01227,0.06277,0.00226,0.09254,0.00490,0.03550,0.00993,0.09398,0.00335
constraint_classifier,hidden_wall_abort,8,0.89285,0.03742,0.10714,0.03742,0.30357,0.09811,0.16964,0.05250,0.25893,0.09516,0.00000,0.00000,0.56148,0.03689,1.89067,0.15791,0.01699,0.00520,0.31017,0.00723,0.18422,0.00514,0.10393,0.00319,0.19464,0.00601,0.15449,0.00943,0.19876,0.00647
constraint_classifier,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.23214,0.06874,0.06250,0.05573,0.13393,0.03172,0.00000,0.00000,0.54405,0.02486,1.82423,0.18060,0.09883,0.01126,0.35377,0.01543,0.21873,0.01127,0.08108,0.00416,0.11714,0.01041,0.06268,0.00771,0.13083,0.01008
constraint_classifier,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.01786,0.02291,0.00000,0.00000,0.01786,0.02291,0.00000,0.00000,0.86751,0.01285,0.98672,0.02370,1.00000,0.00000,0.76786,0.09069,0.76786,0.09069,0.00714,0.00224,0.03750,0.00500,0.00685,0.00395,0.00772,0.00328
costmap_from_collisions,combined_abort_stress,8,0.53571,0.07000,0.46429,0.07000,0.82143,0.05916,0.70536,0.06713,0.77679,0.07215,0.00000,0.00000,0.19795,0.02215,4.89683,0.26127,-0.01130,0.00298,0.42413,0.01089,0.27133,0.00908,0.10070,0.00223,0.08450,0.00366,0.12146,0.01404,0.13576,0.00373
costmap_from_collisions,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.05357,0.04388,0.00000,0.00000,0.05357,0.04388,0.00000,0.00000,0.66739,0.01328,1.31210,0.05461,0.14922,0.01101,0.38270,0.01779,0.24470,0.01474,0.04107,0.00146,0.03853,0.00247,0.02181,0.00287,0.05167,0.00236
costmap_from_collisions,hidden_wall_abort,8,0.91071,0.05124,0.08929,0.05124,0.53571,0.07000,0.35714,0.05916,0.41964,0.07216,0.00000,0.00000,0.49553,0.03889,2.36595,0.25547,0.00590,0.00433,0.46946,0.00730,0.30867,0.00646,0.04657,0.00141,0.07123,0.00380,0.06619,0.00920,0.08768,0.00345
costmap_from_collisions,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.24107,0.04534,0.08929,0.06874,0.12500,0.05766,0.00000,0.00000,0.55403,0.02041,1.77670,0.17529,0.09715,0.01615,0.38241,0.01918,0.24072,0.01382,0.05207,0.00138,0.04520,0.00484,0.03386,0.00472,0.07003,0.00617
costmap_from_collisions,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.87398,0.01061,0.97341,0.01933,1.00000,0.00000,0.78572,0.08775,0.78572,0.08775,0.00242,0.00109,0.00582,0.00261,0.00289,0.00156,0.00357,0.00156
ignore_aborted_actions,combined_abort_stress,8,0.02679,0.02562,0.97321,0.02562,0.98214,0.02291,0.98214,0.02291,0.84821,0.08948,0.00000,0.00000,0.09084,0.00996,5.08389,0.17656,-0.01710,0.00216,0.00000,0.00000,0.00000,0.00000,0.11682,0.00185,0.11682,0.00185,0.00000,0.00000,0.00000,0.00000
