method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_aborted,ci95_aborted,mean_repeated_abort,ci95_repeated_abort,mean_violation,ci95_violation,mean_abstained,ci95_abstained,mean_path_efficiency,ci95_path_efficiency,mean_completion_time,ci95_completion_time,mean_safety_margin,ci95_safety_margin,mean_boundary_f1,ci95_boundary_f1,mean_boundary_iou,ci95_boundary_iou,mean_calibration_brier,ci95_calibration_brier,mean_calibration_ece,ci95_calibration_ece,mean_chosen_path_risk,ci95_chosen_path_risk,mean_discovered_area,ci95_discovered_area
ignore_aborted_actions,force_limit_abort,8,0.71429,0.07000,0.28571,0.07000,0.37500,0.05766,0.32143,0.07000,0.37500,0.05766,0.00000,0.00000,0.51750,0.03576,2.29195,0.23497,0.11281,0.01401,0.00000,0.00000,0.00000,0.00000,0.04619,0.00026,0.04619,0.00026,0.00000,0.00000,0.00000,0.00000
ignore_aborted_actions,hidden_wall_abort,8,0.13393,0.04905,0.86607,0.04905,0.91071,0.05124,0.89286,0.04583,0.90178,0.05250,0.00000,0.00000,0.17447,0.03361,3.95672,0.18640,-0.01012,0.00449,0.00000,0.00000,0.00000,0.00000,0.04014,0.00047,0.04014,0.00047,0.00000,0.00000,0.00000,0.00000
ignore_aborted_actions,human_stop_constraint,8,0.56250,0.05573,0.43750,0.05573,0.57143,0.06481,0.48214,0.05124,0.13393,0.08128,0.00000,0.00000,0.38409,0.02983,3.03241,0.20819,0.05336,0.01499,0.00000,0.00000,0.00000,0.00000,0.05862,0.00130,0.05862,0.00130,0.00000,0.00000,0.00000,0.00000
ignore_aborted_actions,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.87658,0.00864,0.96951,0.01377,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
kernel_trace_constraint_classifier,combined_abort_stress,8,0.85714,0.05916,0.14286,0.05916,0.50000,0.11533,0.35714,0.09899,0.48214,0.12052,0.00893,0.01750,0.29548,0.03702,4.31425,0.69863,0.00609,0.00404,0.32173,0.01011,0.19278,0.00739,0.20587,0.00639,0.22555,0.00794,0.15010,0.01723,0.32373,0.01067
kernel_trace_constraint_classifier,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.09822,0.05250,0.00893,0.01750,0.09822,0.05250,0.00000,0.00000,0.63980,0.01920,1.42796,0.08411,0.13675,0.01060,0.30463,0.01345,0.18388,0.00931,0.07779,0.00257,0.09940,0.00466,0.02486,0.00887,0.11781,0.00389
kernel_trace_constraint_classifier,hidden_wall_abort,8,0.99107,0.01750,0.00893,0.01750,0.26786,0.06344,0.13393,0.04905,0.21429,0.05916,0.00000,0.00000,0.56726,0.02468,1.83541,0.14532,0.01969,0.00490,0.25736,0.00552,0.14807,0.00361,0.14089,0.00366,0.21714,0.00567,0.10486,0.01257,0.23437,0.00625
kernel_trace_constraint_classifier,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.16072,0.06874,0.01786,0.02291,0.08036,0.03172,0.00000,0.00000,0.56210,0.02193,1.66757,0.09932,0.09915,0.00714,0.30910,0.01163,0.18546,0.00787,0.10018,0.00492,0.12330,0.01009,0.04417,0.00591,0.15303,0.01066
kernel_trace_constraint_classifier,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.01786,0.02291,0.00000,0.00000,0.01786,0.02291,0.00000,0.00000,0.86245,0.01354,0.99731,0.03186,1.00000,0.00000,0.77679,0.09331,0.77679,0.09331,0.00756,0.00299,0.02834,0.00540,0.00430,0.00299,0.01023,0.00448
negative_label_baseline,combined_abort_stress,8,0.18750,0.06447,0.81250,0.06447,0.94643,0.03500,0.86607,0.04131,0.91964,0.04131,0.00000,0.00000,0.12339,0.01893,5.19426,0.24701,-0.01665,0.00227,0.24726,0.00735,0.14205,0.00485,0.09347,0.00127,0.07172,0.00165,0.06444,0.00630,0.03010,0.00083
negative_label_baseline,force_limit_abort,8,0.97321,0.03683,0.02679,0.03683,0.17857,0.07000,0.11607,0.05250,0.17857,0.07000,0.00000,0.00000,0.63753,0.02965,1.63421,0.19689,0.11793,0.01215,0.18425,0.01527,0.10473,0.00944,0.03833,0.00069,0.03172,0.00107,0.01022,0.00259,0.00882,0.00067
negative_label_baseline,hidden_wall_abort,8,0.46429,0.07937,0.53571,0.07937,0.77678,0.06713,0.66964,0.08340,0.71429,0.06481,0.00000,0.00000,0.31493,0.04375,3.35622,0.22293,-0.00520,0.00324,0.37443,0.01121,0.23345,0.00867,0.02772,0.00065,0.01394,0.00064,0.04622,0.00522,0.02052,0.00059
negative_label_baseline,human_stop_constraint,8,0.88393,0.06447,0.11607,0.06447,0.37500,0.10500,0.21429,0.06481,0.06250,0.03172,0.00000,0.00000,0.51360,0.04028,2.15711,0.25448,0.06441,0.01263,0.16611,0.01888,0.09234,0.01132,0.04952,0.00117,0.04087,0.00245,0.01810,0.00644,0.01201,0.00131
negative_label_baseline,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.01786,0.02291,0.00893,0.01750,0.01786,0.02291,0.00000,0.00000,0.86547,0.00965,0.99487,0.03184,1.00000,0.00000,0.76786,0.09069,0.76786,0.09069,0.00054,0.00022,0.00164,0.00066,0.00083,0.00069,0.00068,0.00029
oracle_constraints,combined_abort_stress,8,0.91071,0.04388,0.08929,0.04388,0.31250,0.08750,0.20536,0.09331,0.29464,0.09331,0.00000,0.00000,0.37813,0.02404,2.84773,0.42045,0.02747,0.00555,1.00000,0.00000,1.00000,0.00000,0.02011,0.00026,0.06695,0.00080,0.01991,0.00283,0.11682,0.00185
oracle_constraints,force_limit_abort,8,0.95536,0.03683,0.04464,0.03683,0.19643,0.08675,0.12500,0.07365,0.17857,0.09165,0.00000,0.00000,0.62822,0.03294,1.74872,0.34795,0.14603,0.01331,1.00000,0.00000,1.00000,0.00000,0.00564,0.00001,0.02048,0.00001,0.00355,0.00115,0.04619,0.00026
oracle_constraints,hidden_wall_abort,8,0.98214,0.03500,0.01786,0.03500,0.07143,0.04583,0.06250,0.04131,0.07143,0.04583,0.00000,0.00000,0.66273,0.02296,1.47835,0.17409,0.03933,0.00186,1.00000,0.00000,1.00000,0.00000,0.01173,0.00008,0.03854,0.00014,0.00980,0.00070,0.04014,0.00047
oracle_constraints,human_stop_constraint,8,0.99107,0.01750,0.00893,0.01750,0.15179,0.04905,0.06250,0.04131,0.15179,0.04905,0.00000,0.00000,0.59711,0.01246,1.65369,0.11986,0.09918,0.01274,1.00000,0.00000,1.00000,0.00000,0.00752,0.00019,0.02658,0.00063,0.00528,0.00167,0.05862,0.00130
oracle_constraints,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.05357,0.04388,0.01786,0.02291,0.05357,0.04388,0.00000,0.00000,0.85994,0.01452,1.03424,0.07444,1.00000,0.00000,1.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
particle_constraint_belief,combined_abort_stress,8,0.86607,0.07215,0.13393,0.07215,0.38393,0.09141,0.25893,0.09141,0.32143,0.09539,0.00000,0.00000,0.31771,0.03617,3.65588,0.51913,0.00987,0.00501,0.39629,0.01007,0.24885,0.00814,0.12881,0.00274,0.14831,0.00464,0.14000,0.00568,0.21846,0.00620
particle_constraint_belief,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.05357,0.04388,0.00000,0.00000,0.04464,0.04535,0.00000,0.00000,0.61710,0.01543,1.44306,0.07235,0.14717,0.01205,0.36857,0.01365,0.23284,0.01060,0.05528,0.00187,0.08585,0.00454,0.03207,0.00637,0.07798,0.00361
particle_constraint_belief,hidden_wall_abort,8,0.98214,0.02291,0.01786,0.02291,0.28571,0.09899,0.13393,0.05573,0.19643,0.09069,0.00000,0.00000,0.53951,0.03701,1.92475,0.21201,0.01929,0.00551,0.35260,0.01036,0.21494,0.00763,0.08437,0.00277,0.16782,0.00506,0.11690,0.00805,0.16120,0.00614
particle_constraint_belief,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.18750,0.06447,0.03571,0.03742,0.09822,0.03683,0.00000,0.00000,0.52121,0.02652,1.84805,0.19590,0.12972,0.01444,0.37046,0.01268,0.23115,0.00907,0.06923,0.00351,0.10184,0.00969,0.05102,0.00488,0.10578,0.00983
particle_constraint_belief,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.86247,0.01221,0.98650,0.01817,1.00000,0.00000,0.78572,0.08775,0.78572,0.08775,0.00485,0.00195,0.02328,0.00500,0.00424,0.00213,0.00598,0.00259
risk_filter_uncertainty,combined_abort_stress,8,0.50000,0.07483,0.50000,0.07483,0.78571,0.07000,0.66964,0.08750,0.70536,0.08948,0.00000,0.00000,0.20737,0.03522,4.66980,0.38397,-0.00878,0.00300,0.41624,0.00938,0.26478,0.00777,0.10574,0.00191,0.10867,0.00255,0.19539,0.01059,0.15259,0.00495
risk_filter_uncertainty,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.07143,0.03742,0.00893,0.01750,0.07143,0.03742,0.00000,0.00000,0.65991,0.00731,1.34977,0.04336,0.12995,0.01362,0.36571,0.01483,0.23170,0.01202,0.05031,0.00105,0.10493,0.00179,0.10517,0.00207,0.05347,0.00187
risk_filter_uncertainty,hidden_wall_abort,8,0.92857,0.05292,0.07143,0.05292,0.43750,0.08548,0.26786,0.08675,0.30357,0.06874,0.00000,0.00000,0.53182,0.03453,2.08913,0.23857,0.00942,0.00401,0.43218,0.00917,0.27696,0.00759,0.06294,0.00141,0.15197,0.00233,0.15111,0.00656,0.10681,0.00366
risk_filter_uncertainty,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.20536,0.06169,0.08929,0.06344,0.02679,0.02562,0.00000,0.00000,0.55866,0.02345,1.77653,0.14451,0.08148,0.01565,0.36791,0.01963,0.23070,0.01404,0.05971,0.00105,0.10491,0.00433,0.11081,0.00281,0.06925,0.00572
risk_filter_uncertainty,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.86762,0.00951,0.98279,0.01929,1.00000,0.00000,0.77679,0.09331,0.77679,0.09331,0.01620,0.00113,0.11062,0.00176,0.09796,0.00221,0.00472,0.00200
robust_barrier_mpc,combined_abort_stress,8,0.88393,0.05250,0.11607,0.05250,0.40179,0.09516,0.25000,0.04582,0.36607,0.10727,0.00000,0.00000,0.31773,0.02398,3.58434,0.30921,0.00880,0.00333,0.39633,0.00936,0.24904,0.00772,0.13326,0.00324,0.15187,0.00558,0.14138,0.00675,0.24196,0.00592
robust_barrier_mpc,force_limit_abort,8,1.00000,0.00000,0.00000,0.00000,0.04464,0.03683,0.00000,0.00000,0.04464,0.03683,0.00000,0.00000,0.59617,0.02309,1.49145,0.08438,0.14780,0.01653,0.34524,0.01392,0.21500,0.01082,0.06676,0.00260,0.10585,0.00510,0.04232,0.00478,0.10959,0.00501
robust_barrier_mpc,hidden_wall_abort,8,0.92857,0.03742,0.07143,0.03742,0.33928,0.10500,0.16964,0.06969,0.30357,0.09811,0.00000,0.00000,0.51948,0.03645,2.02248,0.21110,0.01768,0.00555,0.34798,0.00941,0.21173,0.00695,0.08421,0.00280,0.15662,0.00505,0.12567,0.00652,0.17070,0.00485
robust_barrier_mpc,human_stop_constraint,8,1.00000,0.00000,0.00000,0.00000,0.17857,0.06481,0.02679,0.02562,0.10714,0.04583,0.00000,0.00000,0.50253,0.02261,1.91594,0.13846,0.14977,0.01708,0.36024,0.01122,0.22413,0.00864,0.08001,0.00380,0.11919,0.00891,0.05257,0.00565,0.13880,0.01033
robust_barrier_mpc,nominal_known_constraints,8,1.00000,0.00000,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.00893,0.01750,0.00000,0.00000,0.85623,0.01640,1.00001,0.02623,1.00000,0.00000,0.77679,0.08548,0.77679,0.08548,0.00777,0.00257,0.03413,0.00508,0.02048,0.00154,0.01017,0.00401
