method,split,seed,episodes,success,aborted,repeated_abort,violation,abstained,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area,tail_risk
abort_constraint_discovery,combined_abort_stress,0,14,0.64286,0.64286,0.50000,0.57143,0.00000,0.22156,5.11915,0.00224,0.46329,0.30388,0.14376,0.16729,0.18125,0.24933,0.35714
abort_constraint_discovery,combined_abort_stress,1,14,0.78571,0.50000,0.21429,0.50000,0.07143,0.28131,4.03159,0.01309,0.41101,0.26138,0.14418,0.15685,0.15838,0.22004,0.21429
abort_constraint_discovery,combined_abort_stress,2,14,0.71429,0.35714,0.28571,0.35714,0.00000,0.29681,3.81943,0.00790,0.45180,0.29287,0.13933,0.16348,0.14354,0.23692,0.28571
abort_constraint_discovery,combined_abort_stress,3,14,0.78571,0.57143,0.35714,0.57143,0.07143,0.22544,4.94098,0.00809,0.42656,0.27258,0.14651,0.17236,0.18234,0.24585,0.21429
abort_constraint_discovery,combined_abort_stress,4,14,0.78571,0.64286,0.28571,0.57143,0.07143,0.25095,4.28315,0.08275,0.45467,0.29704,0.14033,0.16875,0.21528,0.23991,0.21429
abort_constraint_discovery,combined_abort_stress,5,14,0.71429,0.57143,0.28571,0.42857,0.07143,0.24944,4.12054,0.01331,0.44806,0.29137,0.14186,0.17477,0.17364,0.24451,0.28571
abort_constraint_discovery,combined_abort_stress,6,14,0.78571,0.50000,0.50000,0.50000,0.07143,0.23626,4.44395,0.00628,0.45249,0.29367,0.15229,0.19050,0.21761,0.27549,0.21429
abort_constraint_discovery,combined_abort_stress,7,14,0.64286,0.85714,0.50000,0.78571,0.00000,0.16774,6.75825,-0.00338,0.45804,0.30003,0.14696,0.18478,0.16694,0.26580,0.35714
abort_constraint_discovery,force_limit_abort,0,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.57932,1.50412,0.15730,0.41720,0.27102,0.07679,0.15151,0.06961,0.14246,0.00000
abort_constraint_discovery,force_limit_abort,1,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.57697,1.54190,0.18487,0.41994,0.27341,0.07029,0.13831,0.05177,0.12657,0.00000
abort_constraint_discovery,force_limit_abort,2,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.59888,1.50431,0.19152,0.39168,0.25528,0.07215,0.14191,0.04607,0.12482,0.00000
abort_constraint_discovery,force_limit_abort,3,14,1.00000,0.14286,0.00000,0.14286,0.00000,0.54247,1.68824,0.19983,0.44534,0.28883,0.07211,0.14088,0.04927,0.13768,0.00000
abort_constraint_discovery,force_limit_abort,4,14,1.00000,0.07143,0.00000,0.07143,0.00000,0.61461,1.43511,0.19471,0.45554,0.30557,0.06926,0.14343,0.04956,0.13045,0.00000
abort_constraint_discovery,force_limit_abort,5,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.56471,1.58703,0.19978,0.42745,0.27906,0.06782,0.13018,0.04777,0.12531,0.00000
abort_constraint_discovery,force_limit_abort,6,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.55088,1.60764,0.18175,0.41296,0.26726,0.07639,0.15423,0.05212,0.14379,0.00000
abort_constraint_discovery,force_limit_abort,7,14,1.00000,0.14286,0.00000,0.14286,0.00000,0.60436,1.47386,0.19894,0.43834,0.28920,0.07084,0.14071,0.05017,0.13513,0.00000
abort_constraint_discovery,hidden_wall_abort,0,14,0.78571,0.57143,0.28571,0.35714,0.07143,0.40371,2.87305,0.01017,0.33140,0.19939,0.09877,0.12764,0.14787,0.15991,0.21429
abort_constraint_discovery,hidden_wall_abort,1,14,1.00000,0.50000,0.21429,0.28571,0.00000,0.45557,2.40547,0.01475,0.33577,0.20233,0.09414,0.12368,0.06647,0.15589,0.00000
abort_constraint_discovery,hidden_wall_abort,2,14,0.85714,0.64286,0.28571,0.42857,0.14286,0.41493,2.55532,0.01838,0.34594,0.20976,0.09731,0.12960,0.22369,0.16487,0.14286
abort_constraint_discovery,hidden_wall_abort,3,14,0.85714,0.57143,0.07143,0.42857,0.14286,0.44099,2.11061,0.01250,0.35074,0.21332,0.09070,0.12241,0.21462,0.15362,0.14286
abort_constraint_discovery,hidden_wall_abort,4,14,0.78571,0.57143,0.28571,0.35714,0.14286,0.41708,2.70328,0.01043,0.33568,0.20250,0.09564,0.12449,0.20350,0.15629,0.21429
abort_constraint_discovery,hidden_wall_abort,5,14,0.92857,0.35714,0.28571,0.28571,0.07143,0.47036,2.36630,0.01880,0.36939,0.22775,0.08538,0.11063,0.12848,0.14210,0.07143
abort_constraint_discovery,hidden_wall_abort,6,14,0.92857,0.42857,0.14286,0.28571,0.00000,0.50596,2.05935,0.01322,0.33426,0.20163,0.09654,0.12821,0.08621,0.15996,0.07143
abort_constraint_discovery,hidden_wall_abort,7,14,0.92857,0.57143,0.21429,0.50000,0.00000,0.46169,2.42363,0.02100,0.35554,0.21726,0.09002,0.11903,0.09310,0.15196,0.07143
abort_constraint_discovery,human_stop_constraint,0,14,1.00000,0.28571,0.00000,0.21429,0.00000,0.52496,1.77219,0.14439,0.47546,0.32064,0.05988,0.08954,0.03524,0.10946,0.00000
abort_constraint_discovery,human_stop_constraint,1,14,1.00000,0.14286,0.00000,0.14286,0.00000,0.56304,1.58859,0.21655,0.47990,0.31825,0.05830,0.08325,0.02025,0.10411,0.00000
abort_constraint_discovery,human_stop_constraint,2,14,1.00000,0.14286,0.00000,0.07143,0.00000,0.49694,1.87001,0.17302,0.49990,0.33413,0.06704,0.11110,0.02975,0.13496,0.00000
abort_constraint_discovery,human_stop_constraint,3,14,1.00000,0.14286,0.00000,0.14286,0.00000,0.51753,1.76280,0.18365,0.47790,0.31748,0.05703,0.07276,0.01885,0.09786,0.00000
abort_constraint_discovery,human_stop_constraint,4,14,1.00000,0.21429,0.14286,0.14286,0.00000,0.49357,2.03949,0.15623,0.50587,0.34046,0.05222,0.07401,0.01832,0.09438,0.00000
abort_constraint_discovery,human_stop_constraint,5,14,1.00000,0.35714,0.00000,0.28571,0.00000,0.51533,1.88172,0.15550,0.43511,0.28680,0.05315,0.06130,0.01875,0.08165,0.00000
abort_constraint_discovery,human_stop_constraint,6,14,1.00000,0.35714,0.14286,0.28571,0.00000,0.48773,2.12838,0.18262,0.53672,0.36770,0.05778,0.08771,0.01980,0.11482,0.00000
abort_constraint_discovery,human_stop_constraint,7,14,1.00000,0.07143,0.07143,0.07143,0.00000,0.53351,1.78330,0.16141,0.50491,0.34097,0.05963,0.08540,0.03167,0.10951,0.00000
abort_constraint_discovery,nominal_known_constraints,0,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.87451,0.96925,1.00000,0.71429,0.71429,0.00030,0.00087,0.00035,0.00045,0.00000
abort_constraint_discovery,nominal_known_constraints,1,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.88779,0.95373,1.00000,0.85714,0.85714,0.00012,0.00035,0.00047,0.00022,0.00000
abort_constraint_discovery,nominal_known_constraints,2,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.89239,0.94680,1.00000,0.92857,0.92857,0.00006,0.00018,0.00000,0.00009,0.00000
abort_constraint_discovery,nominal_known_constraints,3,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.87446,0.96390,1.00000,0.71429,0.71429,0.00024,0.00070,0.00032,0.00031,0.00000
abort_constraint_discovery,nominal_known_constraints,4,14,1.00000,0.07143,0.00000,0.07143,0.00000,0.86181,0.99806,1.00000,0.78571,0.78571,0.00018,0.00053,0.00072,0.00027,0.00000
abort_constraint_discovery,nominal_known_constraints,5,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.86968,0.98218,1.00000,0.57143,0.57143,0.00036,0.00106,0.00000,0.00040,0.00000
abort_constraint_discovery,nominal_known_constraints,6,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.87644,0.96853,1.00000,0.92857,0.92857,0.00006,0.00018,0.00000,0.00009,0.00000
abort_constraint_discovery,nominal_known_constraints,7,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.87047,0.97972,1.00000,0.71429,0.71429,0.00030,0.00085,0.00023,0.00036,0.00000
abort_constraint_discovery_v5,combined_abort_stress,0,14,0.42857,0.50000,0.21429,0.28571,0.50000,0.18021,2.34023,0.28715,0.43556,0.28059,0.16483,0.20782,0.60124,0.27973,0.57143
abort_constraint_discovery_v5,combined_abort_stress,1,14,0.42857,0.14286,0.07143,0.14286,0.57143,0.16592,2.20646,0.43346,0.39806,0.25082,0.16006,0.18656,0.60159,0.24915,0.57143
abort_constraint_discovery_v5,combined_abort_stress,2,14,0.50000,0.21429,0.21429,0.21429,0.42857,0.16711,2.56407,0.36222,0.44270,0.28533,0.15982,0.20882,0.53569,0.27719,0.50000
abort_constraint_discovery_v5,combined_abort_stress,3,14,0.64286,0.14286,0.07143,0.14286,0.28571,0.17481,2.92961,0.30235,0.41840,0.26576,0.16417,0.21151,0.38414,0.27826,0.35714
abort_constraint_discovery_v5,combined_abort_stress,4,14,0.57143,0.14286,0.07143,0.14286,0.42857,0.15336,2.37669,0.37212,0.44590,0.28880,0.15656,0.19855,0.50421,0.26946,0.42857
abort_constraint_discovery_v5,combined_abort_stress,5,14,0.57143,0.42857,0.35714,0.42857,0.21429,0.20536,3.78936,0.14997,0.43181,0.27699,0.16576,0.22195,0.39167,0.29688,0.42857
abort_constraint_discovery_v5,combined_abort_stress,6,14,0.64286,0.35714,0.07143,0.28571,0.35714,0.25481,2.48166,0.14789,0.44194,0.28528,0.16908,0.22742,0.46969,0.30572,0.35714
abort_constraint_discovery_v5,combined_abort_stress,7,14,0.57143,0.42857,0.28571,0.42857,0.42857,0.16362,4.22266,0.22023,0.44527,0.28894,0.16460,0.22184,0.51511,0.29706,0.42857
abort_constraint_discovery_v5,force_limit_abort,0,14,1.00000,0.07143,0.00000,0.07143,0.00000,0.54020,1.69433,0.16061,0.37770,0.23877,0.09366,0.18733,0.09272,0.16754,0.00000
abort_constraint_discovery_v5,force_limit_abort,1,14,1.00000,0.07143,0.00000,0.07143,0.00000,0.56193,1.66872,0.18586,0.38108,0.24145,0.08598,0.17271,0.07175,0.15205,0.00000
abort_constraint_discovery_v5,force_limit_abort,2,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.59695,1.51556,0.19328,0.35869,0.22792,0.08724,0.17314,0.06293,0.14674,0.00000
abort_constraint_discovery_v5,force_limit_abort,3,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.53214,1.69596,0.20491,0.40960,0.25941,0.08795,0.17644,0.06138,0.16277,0.00000
abort_constraint_discovery_v5,force_limit_abort,4,14,1.00000,0.07143,0.00000,0.00000,0.00000,0.59038,1.49904,0.19406,0.40692,0.26363,0.08761,0.18245,0.07342,0.15857,0.00000
abort_constraint_discovery_v5,force_limit_abort,5,14,1.00000,0.00000,0.00000,0.00000,0.00000,0.54361,1.64941,0.19978,0.39481,0.25180,0.08217,0.16245,0.06406,0.14835,0.00000
