risk_budget,method,split,seed,episodes,success,aborted,repeated_abort,violation,abstained,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area,tail_risk
0.08,abort_constraint_discovery_v5,combined_abort_stress,0,8,0.25000,0.50000,0.50000,0.50000,0.50000,0.06286,4.67696,0.36836,0.43954,0.28228,0.17708,0.20109,0.60333,0.29352,0.75000
0.08,abort_constraint_discovery_v5,combined_abort_stress,1,8,0.50000,0.50000,0.12500,0.50000,0.50000,0.17806,2.79371,0.25898,0.41759,0.26674,0.17722,0.21157,0.53880,0.27930,0.50000
0.08,abort_constraint_discovery_v5,combined_abort_stress,2,8,0.87500,0.25000,0.12500,0.25000,0.12500,0.28104,3.71074,0.01790,0.45922,0.30099,0.16916,0.21862,0.23603,0.30883,0.12500
0.08,abort_constraint_discovery_v5,combined_abort_stress,3,8,0.50000,0.37500,0.25000,0.25000,0.50000,0.15074,2.91168,0.25387,0.44820,0.28981,0.16598,0.19730,0.55691,0.28836,0.50000
0.08,abort_constraint_discovery_v5,combined_abort_stress,4,8,0.50000,0.00000,0.00000,0.00000,0.50000,0.14548,1.54064,0.51390,0.45957,0.30175,0.15508,0.20406,0.54625,0.26781,0.50000
0.08,abort_constraint_discovery_v5,combined_abort_stress,5,8,0.12500,0.37500,0.25000,0.12500,0.87500,0.09836,1.62033,0.50046,0.44450,0.28728,0.16609,0.19044,0.88326,0.27461,0.87500
0.08,abort_constraint_discovery_v5,combined_abort_stress,6,8,0.62500,0.37500,0.12500,0.12500,0.25000,0.20726,4.49708,0.00880,0.44762,0.28870,0.16562,0.20486,0.37744,0.27696,0.37500
0.08,abort_constraint_discovery_v5,combined_abort_stress,7,8,0.37500,0.37500,0.12500,0.37500,0.50000,0.15386,2.74355,0.38106,0.42177,0.27114,0.16703,0.20624,0.57959,0.25969,0.62500
0.08,conformal_abort_risk_filter,combined_abort_stress,0,8,0.37500,0.75000,0.62500,0.75000,0.00000,0.13349,6.24272,-0.01130,0.36883,0.22724,0.12579,0.09860,0.17130,0.15656,0.62500
0.08,conformal_abort_risk_filter,combined_abort_stress,1,8,0.37500,0.87500,0.87500,0.75000,0.00000,0.11020,7.23913,-0.02015,0.41195,0.26059,0.11864,0.10620,0.14570,0.17133,0.62500
0.08,conformal_abort_risk_filter,combined_abort_stress,2,8,0.87500,0.50000,0.25000,0.25000,0.00000,0.27757,4.03658,0.01444,0.40437,0.25632,0.11272,0.10491,0.12782,0.14554,0.12500
0.08,conformal_abort_risk_filter,combined_abort_stress,3,8,0.50000,0.62500,0.50000,0.62500,0.00000,0.20538,5.03931,-0.00355,0.40953,0.25834,0.11641,0.10664,0.15652,0.15813,0.50000
0.08,conformal_abort_risk_filter,combined_abort_stress,4,8,0.62500,0.50000,0.50000,0.50000,0.00000,0.21712,4.67771,0.00332,0.45361,0.29686,0.10487,0.09974,0.16445,0.15344,0.37500
0.08,conformal_abort_risk_filter,combined_abort_stress,5,8,0.75000,0.37500,0.25000,0.37500,0.00000,0.29185,3.64064,0.00397,0.41879,0.26731,0.11249,0.08818,0.13598,0.13906,0.25000
0.08,conformal_abort_risk_filter,combined_abort_stress,6,8,0.75000,0.62500,0.50000,0.50000,0.00000,0.22161,4.86488,-0.00514,0.40734,0.25672,0.11600,0.10281,0.15819,0.14976,0.25000
