method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_aborted,ci95_aborted,mean_repeated_abort,ci95_repeated_abort,mean_violation,ci95_violation,mean_abstained,ci95_abstained,mean_path_efficiency,ci95_path_efficiency,mean_completion_time,ci95_completion_time,mean_safety_margin,ci95_safety_margin,mean_boundary_f1,ci95_boundary_f1,mean_boundary_iou,ci95_boundary_iou,mean_calibration_brier,ci95_calibration_brier,mean_calibration_ece,ci95_calibration_ece,mean_chosen_path_risk,ci95_chosen_path_risk,mean_discovered_area,ci95_discovered_area
abort_discovery_v5_endpoint_only,combined_abort_stress,8,0.51250,0.09398,0.48750,0.09398,0.86250,0.06348,0.75000,0.09073,0.82500,0.08882,0.00000,0.00000,0.19125,0.03027,4.78074,0.31560,-0.01018,0.00433,0.35480,0.01074,0.21710,0.00796,0.09065,0.00216,0.05698,0.00369,0.08698,0.00739,0.06252,0.00171
abort_discovery_v5_full,combined_abort_stress,8,0.60000,0.11112,0.40000,0.11112,0.26250,0.11074,0.13750,0.09026,0.18750,0.09398,0.38750,0.09398,0.20579,0.03465,2.55117,0.37587,0.29515,0.07652,0.41315,0.01952,0.26244,0.01510,0.16963,0.00711,0.21775,0.01292,0.49248,0.07816,0.28210,0.01261
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,8,0.45000,0.11112,0.55000,0.11112,0.32500,0.12145,0.13750,0.09026,0.25000,0.11713,0.50000,0.12285,0.17405,0.03283,2.38127,0.65706,0.38096,0.12552,0.35232,0.01077,0.21521,0.00796,0.19021,0.00530,0.20918,0.00886,0.56905,0.10620,0.27952,0.00976
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,8,0.58750,0.13063,0.41250,0.13063,0.41250,0.04441,0.23750,0.09026,0.32500,0.08073,0.37500,0.08882,0.23039,0.03926,2.89039,0.40588,0.19414,0.08537,0.41468,0.01810,0.26364,0.01400,0.16706,0.00632,0.21139,0.01201,0.48636,0.07441,0.28017,0.01115
abort_discovery_v5_no_calibration,combined_abort_stress,8,0.47500,0.11566,0.52500,0.11566,0.26250,0.10436,0.16250,0.07350,0.23750,0.09756,0.50000,0.10477,0.17739,0.03671,2.36834,0.59613,0.35672,0.08077,0.40023,0.01795,0.25194,0.01365,0.17959,0.00513,0.22681,0.01146,0.58043,0.08765,0.29686,0.01249
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,8,0.51250,0.10102,0.48750,0.10102,0.43750,0.09756,0.31250,0.07803,0.35000,0.11112,0.35000,0.08283,0.21297,0.04175,3.15904,0.41798,0.19071,0.08379,0.40254,0.01990,0.25451,0.01602,0.15060,0.00968,0.15603,0.01365,0.43706,0.07454,0.22179,0.01284
abort_discovery_v5_no_partial_geometry,combined_abort_stress,8,0.67500,0.08073,0.32500,0.08073,0.68750,0.07803,0.56250,0.10436,0.58750,0.10759,0.00000,0.00000,0.25965,0.03017,4.16638,0.39856,-0.00241,0.00458,0.39424,0.01625,0.24788,0.01307,0.09622,0.00275,0.06328,0.00398,0.09939,0.01093,0.08859,0.00371
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,8,0.60000,0.09800,0.40000,0.09800,0.37500,0.09623,0.21250,0.06867,0.30000,0.09800,0.33750,0.07350,0.23922,0.04085,2.95982,0.41762,0.17044,0.09686,0.41706,0.01922,0.26578,0.01493,0.16694,0.00571,0.21436,0.01155,0.46775,0.05568,0.27742,0.01171
abort_discovery_v5_no_safety_margin,combined_abort_stress,8,0.85000,0.08283,0.15000,0.08283,0.47500,0.08882,0.31250,0.13063,0.45000,0.09073,0.00000,0.00000,0.31222,0.03146,3.54729,0.46079,0.01026,0.00560,0.44074,0.01796,0.28537,0.01442,0.13198,0.00334,0.16400,0.01204,0.14065,0.01389,0.21297,0.01454
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,8,0.61250,0.11379,0.38750,0.11379,0.38750,0.07803,0.20000,0.07408,0.31250,0.08637,0.35000,0.11112,0.23041,0.03905,2.96881,0.40708,0.19466,0.08529,0.41356,0.01888,0.26281,0.01458,0.17055,0.00714,0.21983,0.01178,0.47201,0.09020,0.28491,0.01179
