risk_budget,split,reference,comparison,paired_success_diff,ci95_success_diff,paired_violation_reduction,paired_repeated_abort_reduction,paired_boundary_f1_diff,paired_efficiency_diff,paired_discovered_area_diff,reference_better_seeds,seeds
0.08,combined_abort_stress,abort_constraint_discovery_v5,conformal_abort_risk_filter,-0.17188,0.17895,0.26562,0.29688,0.03457,-0.05785,0.13061,1,8
0.08,combined_abort_stress,abort_constraint_discovery_v5,constraint_classifier,-0.25000,0.16694,0.35938,0.35938,0.04350,-0.04956,0.00328,1,8
0.08,combined_abort_stress,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,-0.34375,0.17782,0.18750,0.26562,0.12071,-0.06220,-0.05185,1,8
0.08,combined_abort_stress,abort_constraint_discovery_v5,oracle_constraints,-0.32812,0.21186,0.07812,0.12500,-0.55775,-0.12655,0.14925,1,8
0.08,combined_abort_stress,abort_constraint_discovery_v5,particle_constraint_belief,-0.43750,0.17932,0.10938,0.10938,0.04950,-0.10129,0.05946,0,8
0.08,combined_abort_stress,abort_constraint_discovery_v5,risk_filter_uncertainty,-0.07812,0.15997,0.53125,0.57812,0.02449,-0.00041,0.12077,1,8
0.08,combined_abort_stress,abort_constraint_discovery_v5,robust_barrier_mpc,-0.45312,0.17285,0.07812,0.06250,0.04998,-0.09713,0.03665,0,8
0.12,combined_abort_stress,abort_constraint_discovery_v5,conformal_abort_risk_filter,-0.25000,0.13096,0.12500,0.12500,0.04632,-0.12081,0.12511,1,8
0.12,combined_abort_stress,abort_constraint_discovery_v5,constraint_classifier,-0.25000,0.16039,0.15625,0.15625,0.05815,-0.10333,0.00577,1,8
0.12,combined_abort_stress,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,-0.29688,0.24907,0.12500,0.12500,0.13390,-0.08507,-0.06258,1,8
0.12,combined_abort_stress,abort_constraint_discovery_v5,oracle_constraints,-0.35938,0.16329,0.09375,0.07812,-0.55615,-0.14635,0.13376,0,8
0.12,combined_abort_stress,abort_constraint_discovery_v5,particle_constraint_belief,-0.32812,0.20149,0.03125,0.07812,0.05968,-0.11772,0.04905,1,8
0.12,combined_abort_stress,abort_constraint_discovery_v5,risk_filter_uncertainty,-0.12500,0.22205,0.48438,0.46875,0.03580,-0.04080,0.11356,3,8
0.12,combined_abort_stress,abort_constraint_discovery_v5,robust_barrier_mpc,-0.39062,0.19334,0.00000,0.03125,0.05405,-0.12820,0.02857,1,8
0.18,combined_abort_stress,abort_constraint_discovery_v5,conformal_abort_risk_filter,-0.21875,0.20049,0.21875,0.25000,0.03102,-0.07034,0.12305,2,8
0.18,combined_abort_stress,abort_constraint_discovery_v5,constraint_classifier,-0.15625,0.15871,0.20312,0.28125,0.04777,-0.06431,0.00516,1,8
0.18,combined_abort_stress,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,-0.39062,0.11748,0.15625,0.07812,0.11502,-0.08723,-0.05534,0,8
0.18,combined_abort_stress,abort_constraint_discovery_v5,oracle_constraints,-0.40625,0.13696,-0.09375,-0.04688,-0.56759,-0.16195,0.13928,0,8
0.18,combined_abort_stress,abort_constraint_discovery_v5,particle_constraint_belief,-0.43750,0.11341,0.09375,0.09375,0.04525,-0.09856,0.04627,0,8
0.18,combined_abort_stress,abort_constraint_discovery_v5,risk_filter_uncertainty,-0.09375,0.15181,0.43750,0.42188,0.02796,-0.02098,0.11599,1,8
0.18,combined_abort_stress,abort_constraint_discovery_v5,robust_barrier_mpc,-0.39062,0.15659,0.07812,0.06250,0.04669,-0.09937,0.02278,0,8
0.25,combined_abort_stress,abort_constraint_discovery_v5,conformal_abort_risk_filter,-0.14062,0.19334,0.28125,0.29688,0.03672,-0.07082,0.12509,2,8
0.25,combined_abort_stress,abort_constraint_discovery_v5,constraint_classifier,-0.07812,0.15313,0.25000,0.29688,0.03810,-0.06443,0.01338,1,8
0.25,combined_abort_stress,abort_constraint_discovery_v5,kernel_trace_constraint_classifier,-0.31250,0.20182,0.15625,0.14062,0.11739,-0.09525,-0.05619,0,8
0.25,combined_abort_stress,abort_constraint_discovery_v5,oracle_constraints,-0.32812,0.17285,0.07812,0.07812,-0.56157,-0.14515,0.14173,0,8
0.25,combined_abort_stress,abort_constraint_discovery_v5,particle_constraint_belief,-0.34375,0.23034,0.10938,0.07812,0.04164,-0.11750,0.05417,1,8
0.25,combined_abort_stress,abort_constraint_discovery_v5,risk_filter_uncertainty,0.00000,0.16694,0.42188,0.43750,0.03034,-0.02099,0.12270,3,8
0.25,combined_abort_stress,abort_constraint_discovery_v5,robust_barrier_mpc,-0.39062,0.20932,0.09375,0.03125,0.04897,-0.12640,0.03256,0,8
