seed,scenario,layout_id,split,evidence_id,aborted,success,reason,trace_points,path_length,force_proxy,violation,start_x,start_y,goal_x,goal_y,abort_x,abort_y,direction_x,direction_y
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,probe_00,0,1,none,70,1.01081,0.00000,0,0.07094,0.51531,0.92471,0.59212,0.93529,0.59572,0.82351,0.56731
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,probe_01,0,1,none,68,0.95897,0.00000,0,0.07000,0.86629,0.93000,0.82686,0.94171,0.82815,0.97337,0.22924
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,probe_02,1,0,visible_collision,11,0.13847,1.00000,1,0.12000,0.14000,0.88000,0.33000,0.23918,0.18071,0.62763,0.77852
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,probe_03,0,1,none,89,1.21563,0.00000,0,0.10000,0.86000,0.91000,0.16000,0.90409,0.16585,0.99360,-0.11299
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,probe_04,0,1,none,63,0.89116,0.00000,0,0.16000,0.67000,0.86000,0.41901,0.85820,0.40268,0.97750,-0.21092
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,probe_00,0,1,none,68,0.98363,0.00000,0,0.07510,0.29945,0.91503,0.23369,0.90806,0.22441,0.93013,0.36724
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,probe_01,0,1,none,72,0.99647,0.00000,0,0.07000,0.71626,0.93000,0.64687,0.93423,0.64895,0.64404,-0.76499
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,probe_02,0,1,none,64,0.87693,0.00000,0,0.12000,0.14000,0.88000,0.16000,0.87758,0.17684,0.54702,0.83712
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,probe_03,0,1,none,83,1.15830,0.00000,0,0.10000,0.86000,0.91000,0.33000,0.90965,0.32634,0.97490,0.22264
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,probe_04,0,1,none,55,0.76654,0.00000,0,0.16000,0.50000,0.86000,0.46700,0.85116,0.46128,0.97149,0.23709
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,probe_00,0,1,none,68,0.99266,0.00000,0,0.07389,0.21586,0.91419,0.20940,0.91040,0.19892,0.96027,0.27907
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,probe_01,0,1,none,72,1.00367,0.00000,0,0.07000,0.11141,0.93000,0.18430,0.93723,0.20003,0.51324,0.85824
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,probe_02,1,0,visible_collision,65,0.88311,1.00000,1,0.12000,0.14000,0.88000,0.84000,0.70497,0.65248,0.96697,0.25490
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,probe_03,0,1,none,76,1.02312,0.00000,0,0.10000,0.86000,0.91000,0.50000,0.90646,0.51935,0.48450,-0.87479
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,probe_04,0,1,none,66,0.92918,0.00000,0,0.16000,0.33000,0.86000,0.67602,0.85638,0.67356,0.59538,0.80345
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,probe_00,0,1,none,69,0.98150,0.00000,0,0.06533,0.76702,0.91022,0.82870,0.90832,0.83265,0.99998,0.00624
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,probe_01,0,1,none,67,0.95161,0.00000,0,0.07000,0.68088,0.93000,0.66456,0.93560,0.67837,0.90041,0.43504
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,probe_02,0,1,none,85,1.14529,0.00000,0,0.12000,0.14000,0.88000,0.84000,0.87631,0.82946,0.48231,0.87600
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,probe_03,0,1,none,83,1.17034,0.00000,0,0.10000,0.86000,0.91000,0.33000,0.90565,0.32610,0.96576,0.25943
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,probe_04,1,0,visible_collision,68,0.94033,1.00000,1,0.16000,0.16000,0.86000,0.87526,0.74218,0.75196,0.74778,0.66395
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,probe_00,0,1,none,67,0.94504,0.00000,0,0.06996,0.44506,0.91233,0.37529,0.90845,0.37510,0.98877,-0.14943
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,probe_01,0,1,none,69,0.99061,0.00000,0,0.07000,0.20195,0.93000,0.13902,0.93467,0.15139,0.68471,-0.72881
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,probe_02,0,1,none,79,1.05186,0.00000,0,0.12000,0.14000,0.88000,0.67000,0.88470,0.67001,0.73278,0.68047
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,probe_03,0,1,none,64,0.91017,0.00000,0,0.10000,0.86000,0.91000,0.84000,0.91228,0.82790,0.96707,-0.25451
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,probe_04,0,1,none,67,0.94037,0.00000,0,0.16000,0.33000,0.86000,0.70504,0.85816,0.69811,0.59125,0.80649
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,probe_00,0,1,none,71,1.00397,0.00000,0,0.07233,0.64159,0.92126,0.73709,0.93095,0.74584,0.82113,0.57075
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,probe_01,0,1,none,68,0.98253,0.00000,0,0.07000,0.14728,0.93000,0.16636,0.93046,0.16751,0.83868,0.54462
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,probe_02,0,1,none,79,1.12413,0.00000,0,0.12000,0.14000,0.88000,0.67000,0.88970,0.67224,0.64629,0.76310
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,probe_03,0,1,none,64,0.90590,0.00000,0,0.10000,0.86000,0.91000,0.84000,0.90396,0.83418,0.86927,-0.49434
