seed,scenario,layout_id,split,method,stress_level,risk_budget,success,aborted,repeated_abort,violation,attempts,abstained,path_length,straight_line,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area,evidence_aborts,evidence_successes,final_abort_reason,trajectory
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_full,0.00,,0,0,0,0,1,1,0.00000,0.85275,0.00000,0.12000,1.00000,0.38146,0.23568,0.16740,0.18060,1.00000,0.23062,11,0,no_path,a0:no_path
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_partial_geometry,0.00,,0,1,1,1,6,0,4.87983,0.85275,0.06116,6.19983,-0.01873,0.53406,0.36431,0.08834,0.06051,0.15692,0.10938,11,0,human_stop,a0:collision_margin:37;a1:fixture_snag:46;a2:fixture_snag:36;a3:force_limit:36;a4:fixture_snag:31;a5:human_stop:40
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_abort_reason_labels,0.00,,0,0,0,0,1,1,0.00000,0.85275,0.00000,0.12000,1.00000,0.35294,0.21429,0.18192,0.19977,1.00000,0.24125,11,0,no_path,a0:no_path
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_repeated_abort_memory,0.00,,0,0,0,0,1,1,0.00000,0.85275,0.00000,0.12000,1.00000,0.38283,0.23673,0.16609,0.17947,1.00000,0.22937,11,0,no_path,a0:no_path
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_safety_margin,0.00,,1,0,0,0,1,0,2.03260,0.85275,0.41954,2.03260,0.03305,0.43830,0.28065,0.12529,0.12915,0.14587,0.17375,11,0,none,a0:none:100
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_calibration,0.00,,0,0,0,0,1,1,0.00000,0.85275,0.00000,0.12000,1.00000,0.36833,0.22574,0.17732,0.19095,1.00000,0.24313,11,0,no_path,a0:no_path
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_dynamic_contact_features,0.00,,0,0,0,0,1,1,0.00000,0.85275,0.00000,0.12000,1.00000,0.38418,0.23776,0.16296,0.17495,1.00000,0.21188,11,0,no_path,a0:no_path
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_uncertainty_quantile,0.00,,0,0,0,0,1,1,0.00000,0.85275,0.00000,0.12000,1.00000,0.38146,0.23568,0.16741,0.18177,1.00000,0.23062,11,0,no_path,a0:no_path
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_no_barrier_inflation,0.00,,0,0,0,0,1,1,0.00000,0.85275,0.00000,0.12000,1.00000,0.38283,0.23673,0.16536,0.17481,1.00000,0.22937,11,0,no_path,a0:no_path
0,7000,combined_abort_stress_0_7000_0,combined_abort_stress,abort_discovery_v5_endpoint_only,0.00,,0,1,1,1,6,0,3.65370,0.85275,0.08169,4.97370,-0.01142,0.34951,0.21176,0.09340,0.05458,0.11903,0.07312,11,0,collision_margin,a0:force_limit:34;a1:force_limit:18;a2:visible_collision:49;a3:visible_collision:15;a4:force_limit:30;a5:collision_margin:22
