risk_budget,method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_aborted,ci95_aborted,mean_repeated_abort,ci95_repeated_abort,mean_violation,ci95_violation,mean_abstained,ci95_abstained,mean_path_efficiency,ci95_path_efficiency,mean_completion_time,ci95_completion_time,mean_safety_margin,ci95_safety_margin,mean_boundary_f1,ci95_boundary_f1,mean_boundary_iou,ci95_boundary_iou,mean_calibration_brier,ci95_calibration_brier,mean_calibration_ece,ci95_calibration_ece,mean_chosen_path_risk,ci95_chosen_path_risk,mean_discovered_area,ci95_discovered_area
0.08,abort_constraint_discovery_v5,combined_abort_stress,8,0.46875,0.15871,0.53125,0.15871,0.34375,0.11103,0.18750,0.10353,0.26562,0.12627,0.46875,0.15181,0.15971,0.04595,3.06184,0.81478,0.28792,0.13463,0.44225,0.01077,0.28609,0.00869,0.16791,0.00490,0.20427,0.00593,0.54020,0.12899,0.28114,0.01071
0.08,conformal_abort_risk_filter,combined_abort_stress,8,0.64062,0.14224,0.35938,0.14224,0.59375,0.11103,0.48438,0.14224,0.53125,0.12029,0.00000,0.00000,0.21756,0.04700,4.97035,0.84496,-0.00147,0.00757,0.40768,0.01698,0.25818,0.01388,0.11496,0.00416,0.10019,0.00443,0.14702,0.01322,0.15053,0.00868
0.08,constraint_classifier,combined_abort_stress,8,0.71875,0.06125,0.28125,0.06125,0.64062,0.08584,0.54688,0.11282,0.62500,0.09260,0.00000,0.00000,0.20926,0.02899,5.63196,0.50615,-0.00253,0.00385,0.39876,0.00964,0.25075,0.00768,0.15870,0.00435,0.18119,0.00681,0.17786,0.01626,0.27785,0.01088
0.08,kernel_trace_constraint_classifier,combined_abort_stress,8,0.81250,0.09260,0.18750,0.09260,0.56250,0.16694,0.45312,0.11282,0.45312,0.12195,0.12500,0.09260,0.22191,0.03514,5.42833,0.68387,0.00087,0.00544,0.32155,0.01327,0.19263,0.00934,0.21687,0.00911,0.22732,0.00860,0.23630,0.07877,0.33299,0.00714
0.08,oracle_constraints,combined_abort_stress,8,0.79688,0.10288,0.20312,0.10288,0.37500,0.13096,0.31250,0.13890,0.34375,0.12890,0.00000,0.00000,0.28625,0.03936,4.09052,0.70896,0.02316,0.00406,1.00000,0.00000,1.00000,0.00000,0.02058,0.00056,0.06860,0.00178,0.02273,0.00268,0.13189,0.00323
0.08,particle_constraint_belief,combined_abort_stress,8,0.90625,0.06125,0.09375,0.06125,0.40625,0.17169,0.29688,0.13842,0.37500,0.17324,0.00000,0.00000,0.26100,0.03813,4.49537,0.72894,0.00760,0.00562,0.39275,0.01077,0.24626,0.00845,0.13694,0.00508,0.14272,0.00834,0.12226,0.01676,0.22167,0.01068
0.08,risk_filter_uncertainty,combined_abort_stress,8,0.54688,0.07936,0.45312,0.07936,0.82812,0.04483,0.76562,0.08584,0.79688,0.06445,0.00000,0.00000,0.16012,0.02199,5.91839,0.52336,-0.01200,0.00344,0.41776,0.01771,0.26638,0.01476,0.11458,0.00320,0.10614,0.00431,0.18350,0.01323,0.16036,0.00847
0.08,robust_barrier_mpc,combined_abort_stress,8,0.92188,0.06445,0.07812,0.06445,0.40625,0.12029,0.25000,0.11341,0.34375,0.12029,0.00000,0.00000,0.25684,0.02579,4.40893,0.54788,0.00719,0.00536,0.39227,0.01380,0.24584,0.01102,0.14160,0.00427,0.14861,0.00408,0.11927,0.01177,0.24448,0.00809
0.12,abort_constraint_discovery_v5,combined_abort_stress,8,0.54688,0.16654,0.45312,0.16654,0.25000,0.08020,0.15625,0.07678,0.23438,0.08584,0.43750,0.16694,0.17558,0.03894,2.53409,0.54418,0.30542,0.11800,0.44385,0.01716,0.28756,0.01407,0.16243,0.00599,0.19087,0.00763,0.50342,0.15805,0.26534,0.00845
0.12,conformal_abort_risk_filter,combined_abort_stress,8,0.79688,0.06445,0.20312,0.06445,0.35938,0.10797,0.28125,0.08966,0.35938,0.10797,0.00000,0.00000,0.29639,0.02490,3.69338,0.46481,0.00655,0.00462,0.39753,0.02388,0.25128,0.01815,0.11513,0.00421,0.09886,0.00890,0.14150,0.01097,0.14023,0.00505
