risk_budget,method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_aborted,ci95_aborted,mean_repeated_abort,ci95_repeated_abort,mean_violation,ci95_violation,mean_abstained,ci95_abstained,mean_path_efficiency,ci95_path_efficiency,mean_completion_time,ci95_completion_time,mean_safety_margin,ci95_safety_margin,mean_boundary_f1,ci95_boundary_f1,mean_boundary_iou,ci95_boundary_iou,mean_calibration_brier,ci95_calibration_brier,mean_calibration_ece,ci95_calibration_ece,mean_chosen_path_risk,ci95_chosen_path_risk,mean_discovered_area,ci95_discovered_area
0.12,constraint_classifier,combined_abort_stress,8,0.79688,0.09187,0.20312,0.09187,0.45312,0.10288,0.31250,0.08020,0.39062,0.08584,0.00000,0.00000,0.27890,0.02233,4.07770,0.45953,0.00528,0.00479,0.38570,0.01974,0.24096,0.01484,0.15640,0.00469,0.17325,0.00905,0.19375,0.02176,0.25957,0.00812
0.12,kernel_trace_constraint_classifier,combined_abort_stress,8,0.84375,0.15181,0.15625,0.15181,0.40625,0.14457,0.28125,0.16533,0.35938,0.14958,0.09375,0.10091,0.26064,0.04907,4.63393,1.10198,0.00711,0.00579,0.30994,0.01667,0.18445,0.01159,0.21785,0.01181,0.22770,0.01688,0.21477,0.08842,0.32792,0.02339
0.12,oracle_constraints,combined_abort_stress,8,0.90625,0.08966,0.09375,0.08966,0.32812,0.15313,0.23438,0.11748,0.32812,0.15313,0.00000,0.00000,0.32193,0.03999,3.51301,0.75087,0.02167,0.00288,1.00000,0.00000,1.00000,0.00000,0.02068,0.00057,0.06888,0.00172,0.01974,0.00239,0.13158,0.00337
0.12,particle_constraint_belief,combined_abort_stress,8,0.87500,0.06548,0.12500,0.06548,0.29688,0.07936,0.23438,0.09753,0.26562,0.08584,0.00000,0.00000,0.29329,0.02033,3.88826,0.57464,0.00928,0.00353,0.38417,0.02323,0.24012,0.01761,0.13852,0.00515,0.14475,0.00969,0.13615,0.01487,0.21629,0.00810
0.12,risk_filter_uncertainty,combined_abort_stress,8,0.67188,0.10288,0.32812,0.10288,0.75000,0.08020,0.62500,0.09260,0.71875,0.08966,0.00000,0.00000,0.21637,0.01889,5.00547,0.40583,-0.00816,0.00244,0.40804,0.02088,0.25872,0.01617,0.11389,0.00376,0.10144,0.00652,0.17765,0.00756,0.15179,0.00494
0.12,robust_barrier_mpc,combined_abort_stress,8,0.93750,0.04630,0.06250,0.04630,0.25000,0.10353,0.18750,0.08020,0.23438,0.08584,0.00000,0.00000,0.30378,0.02213,3.41761,0.36428,0.01073,0.00397,0.38980,0.02325,0.24425,0.01777,0.14139,0.00587,0.14841,0.00893,0.13173,0.00850,0.23677,0.00591
0.18,abort_constraint_discovery_v5,combined_abort_stress,8,0.50000,0.11341,0.50000,0.11341,0.35938,0.12627,0.21875,0.08966,0.29688,0.11282,0.50000,0.11341,0.17337,0.03871,3.04610,0.73152,0.23933,0.14187,0.43241,0.01044,0.27766,0.00850,0.16581,0.00373,0.19242,0.00798,0.55830,0.09890,0.27036,0.01159
0.18,conformal_abort_risk_filter,combined_abort_stress,8,0.71875,0.12029,0.28125,0.12029,0.57812,0.11282,0.46875,0.08966,0.51562,0.10797,0.00000,0.00000,0.24371,0.03348,4.38324,0.40362,-0.00017,0.00486,0.40139,0.01083,0.25272,0.00872,0.11635,0.00330,0.10207,0.00440,0.15404,0.00997,0.14731,0.00301
0.18,constraint_classifier,combined_abort_stress,8,0.65625,0.08966,0.34375,0.08966,0.59375,0.13696,0.50000,0.15356,0.50000,0.16694,0.00000,0.00000,0.23768,0.04703,4.37986,0.61766,-0.00157,0.00715,0.38464,0.00962,0.23947,0.00740,0.15896,0.00300,0.17664,0.00632,0.22770,0.01548,0.26520,0.00655
0.18,kernel_trace_constraint_classifier,combined_abort_stress,8,0.89062,0.05551,0.10938,0.05551,0.46875,0.12890,0.29688,0.13045,0.45312,0.12195,0.03125,0.04010,0.26060,0.03909,4.72934,1.04368,0.00673,0.00760,0.31739,0.00916,0.18956,0.00659,0.21405,0.00721,0.22457,0.01156,0.16216,0.03758,0.32570,0.01483
0.18,oracle_constraints,combined_abort_stress,8,0.90625,0.04010,0.09375,0.04010,0.25000,0.13096,0.17188,0.07936,0.20312,0.09187,0.00000,0.00000,0.33532,0.02679,3.31407,0.45794,0.01949,0.00276,1.00000,0.00000,1.00000,0.00000,0.02087,0.00055,0.06956,0.00179,0.02334,0.00430,0.13108,0.00326
0.18,particle_constraint_belief,combined_abort_stress,8,0.93750,0.04630,0.06250,0.04630,0.43750,0.13096,0.31250,0.10353,0.39062,0.14958,0.00000,0.00000,0.27193,0.03702,4.25858,0.70295,0.00563,0.00565,0.38716,0.01292,0.24152,0.01014,0.14012,0.00328,0.14964,0.00801,0.13791,0.01066,0.22409,0.00893
0.18,risk_filter_uncertainty,combined_abort_stress,8,0.59375,0.06125,0.40625,0.06125,0.76562,0.10797,0.64062,0.07229,0.73438,0.09753,0.00000,0.00000,0.19435,0.02706,5.16575,0.36700,-0.00816,0.00492,0.40445,0.01688,0.25570,0.01310,0.11474,0.00269,0.10320,0.00441,0.18181,0.01066,0.15437,0.00459
0.18,robust_barrier_mpc,combined_abort_stress,8,0.89062,0.07229,0.10938,0.07229,0.40625,0.07678,0.28125,0.12029,0.37500,0.08020,0.00000,0.00000,0.27274,0.02937,4.12869,0.54336,0.00485,0.00328,0.38573,0.01333,0.24048,0.01042,0.14464,0.00301,0.15422,0.00441,0.14717,0.00670,0.24758,0.00574
0.25,abort_constraint_discovery_v5,combined_abort_stress,8,0.46875,0.15181,0.53125,0.15181,0.42188,0.11282,0.23438,0.07229,0.28125,0.12029,0.43750,0.16694,0.15743,0.03701,3.32372,0.88380,0.25651,0.13132,0.43843,0.01288,0.28322,0.01063,0.16709,0.00562,0.19564,0.00751,0.51638,0.14222,0.27305,0.01199
0.25,conformal_abort_risk_filter,combined_abort_stress,8,0.60938,0.12627,0.39062,0.12627,0.60938,0.07229,0.53125,0.07678,0.56250,0.10353,0.00000,0.00000,0.22825,0.02805,4.73962,0.46901,-0.00112,0.00315,0.40171,0.01002,0.25346,0.00765,0.11485,0.00344,0.09853,0.00441,0.16645,0.01024,0.14796,0.00572
0.25,constraint_classifier,combined_abort_stress,8,0.54688,0.10288,0.45312,0.10288,0.59375,0.08966,0.53125,0.11103,0.53125,0.11103,0.00000,0.00000,0.22186,0.03468,4.67252,0.60264,-0.00206,0.00321,0.40033,0.00774,0.25188,0.00581,0.15353,0.00426,0.17044,0.00379,0.23458,0.01367,0.25967,0.00612
0.25,kernel_trace_constraint_classifier,combined_abort_stress,8,0.78125,0.13696,0.21875,0.13696,0.46875,0.15871,0.37500,0.15356,0.43750,0.15356,0.00000,0.00000,0.25268,0.04460,4.90526,0.97773,0.00367,0.00628,0.32104,0.00941,0.19229,0.00662,0.21527,0.01167,0.22481,0.01409,0.15840,0.03261,0.32924,0.02030
0.25,oracle_constraints,combined_abort_stress,8,0.79688,0.10288,0.20312,0.10288,0.37500,0.10353,0.31250,0.08020,0.35938,0.11748,0.00000,0.00000,0.30258,0.03084,4.00497,0.58496,0.02069,0.00412,1.00000,0.00000,1.00000,0.00000,0.02072,0.00071,0.06921,0.00219,0.02175,0.00292,0.13132,0.00332
0.25,particle_constraint_belief,combined_abort_stress,8,0.81250,0.12250,0.18750,0.12250,0.40625,0.15871,0.31250,0.13096,0.39062,0.16329,0.00000,0.00000,0.27493,0.03736,4.13331,0.80960,0.00867,0.00650,0.39679,0.00929,0.24908,0.00727,0.13671,0.00516,0.14213,0.00843,0.16053,0.02650,0.21888,0.01138
0.25,risk_filter_uncertainty,combined_abort_stress,8,0.46875,0.12029,0.53125,0.12029,0.78125,0.10091,0.67188,0.12195,0.70312,0.10288,0.00000,0.00000,0.17842,0.03551,5.11684,0.41815,-0.01006,0.00357,0.40809,0.01071,0.25852,0.00827,0.11266,0.00343,0.09985,0.00519,0.19762,0.01644,0.15034,0.00382
0.25,robust_barrier_mpc,combined_abort_stress,8,0.85938,0.08584,0.14062,0.08584,0.39062,0.14958,0.26562,0.08584,0.37500,0.15356,0.00000,0.00000,0.28383,0.03146,3.86660,0.52674,0.00820,0.00557,0.38946,0.01144,0.24365,0.00903,0.14166,0.00465,0.14796,0.00718,0.14617,0.01170,0.24049,0.00696
