seed,scenario,layout_id,split,method,stress_level,success,aborted,repeated_abort,violation,attempts,abstained,path_length,straight_line,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area,evidence_aborts,evidence_successes,final_abort_reason,trajectory
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,0.99388,0.85721,0.86249,0.99388,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:70
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,negative_label_baseline,0.00,1,0,0,0,1,0,0.99974,0.85721,0.85744,0.99974,1.00000,0.00000,0.00000,0.00212,0.00653,0.00000,0.00277,1,4,none,a0:none:70
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,1.01046,0.85721,0.84834,1.01046,1.00000,0.00000,0.00000,0.01035,0.02512,0.00000,0.01454,1,4,none,a0:none:70
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,risk_filter_uncertainty,0.00,1,0,0,0,1,0,0.95809,0.85721,0.89471,0.95809,1.00000,0.00000,0.00000,0.02542,0.12534,0.08688,0.02078,1,4,none,a0:none:70
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,constraint_classifier,0.00,1,0,0,0,1,0,0.98667,0.85721,0.86880,0.98667,1.00000,0.00000,0.00000,0.02934,0.08067,0.00000,0.03947,1,4,none,a0:none:70
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,abort_constraint_discovery,0.00,1,0,0,0,1,0,0.99942,0.85721,0.85772,0.99942,1.00000,0.00000,0.00000,0.00084,0.00246,0.00000,0.00139,1,4,none,a0:none:70
0,0,nominal_known_constraints_0_0_0,nominal_known_constraints,oracle_constraints,0.00,1,0,0,0,1,0,0.96777,0.85721,0.88577,0.96777,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:70
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,0.98546,0.84250,0.85493,0.98546,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:68
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,negative_label_baseline,0.00,1,0,0,0,1,0,0.99554,0.84250,0.84628,0.99554,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:68
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,0.93316,0.84250,0.90285,0.93316,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:68
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,risk_filter_uncertainty,0.00,1,0,0,0,1,0,0.93779,0.84250,0.89839,0.93779,1.00000,1.00000,1.00000,0.01342,0.10608,0.09364,0.00000,0,5,none,a0:none:68
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,constraint_classifier,0.00,1,0,0,0,1,0,0.96766,0.84250,0.87066,0.96766,1.00000,1.00000,1.00000,0.00121,0.01926,0.00000,0.00000,0,5,none,a0:none:68
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,abort_constraint_discovery,0.00,1,0,0,0,1,0,0.97371,0.84250,0.86525,0.97371,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:68
0,1,nominal_known_constraints_0_1_0,nominal_known_constraints,oracle_constraints,0.00,1,0,0,0,1,0,0.95578,0.84250,0.88148,0.95578,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:68
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,0.96110,0.84032,0.87433,0.96110,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:68
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,negative_label_baseline,0.00,1,0,0,0,1,0,1.01306,0.84032,0.82949,1.01306,1.00000,0.00000,0.00000,0.00212,0.00653,0.00000,0.00277,1,4,none,a0:none:68
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,0.96508,0.84032,0.87072,0.96508,1.00000,0.00000,0.00000,0.01035,0.02525,0.00000,0.01524,1,4,none,a0:none:68
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,risk_filter_uncertainty,0.00,1,0,0,0,1,0,0.96889,0.84032,0.86731,0.96889,1.00000,0.00000,0.00000,0.02470,0.12309,0.10638,0.02078,1,4,none,a0:none:68
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,constraint_classifier,0.00,1,0,0,0,1,0,0.95202,0.84032,0.88267,0.95202,1.00000,0.00000,0.00000,0.02206,0.07366,0.00000,0.02770,1,4,none,a0:none:68
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,abort_constraint_discovery,0.00,1,0,0,0,1,0,0.96741,0.84032,0.86863,0.96741,1.00000,0.00000,0.00000,0.00084,0.00246,0.00000,0.00069,1,4,none,a0:none:68
0,2,nominal_known_constraints_0_2_0,nominal_known_constraints,oracle_constraints,0.00,1,0,0,0,1,0,0.94973,0.84032,0.88480,0.94973,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:68
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,0.96031,0.84713,0.88214,0.96031,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:69
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,negative_label_baseline,0.00,1,1,0,1,2,0,1.79281,0.84713,0.47252,2.07281,1.00000,0.00000,0.00000,0.00411,0.01185,0.02993,0.00485,1,4,none,a0:visible_collision:53;a1:none:73
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,1.00800,0.84713,0.84041,1.00800,1.00000,0.00000,0.00000,0.01035,0.02524,0.01600,0.01524,1,4,none,a0:none:73
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,risk_filter_uncertainty,0.00,1,0,0,0,1,0,1.03822,0.84713,0.81595,1.03822,1.00000,0.00000,0.00000,0.02507,0.12447,0.10874,0.02008,1,4,none,a0:none:73
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,constraint_classifier,0.00,1,0,0,0,1,0,0.98206,0.84713,0.86261,0.98206,1.00000,0.00000,0.00000,0.01598,0.06878,0.03787,0.01177,1,4,none,a0:none:71
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,abort_constraint_discovery,0.00,1,1,0,1,2,0,1.74406,0.84713,0.48573,2.02406,1.00000,0.00000,0.00000,0.00167,0.00486,0.00289,0.00208,1,4,none,a0:visible_collision:52;a1:none:73
0,3,nominal_known_constraints_0_3_0,nominal_known_constraints,oracle_constraints,0.00,1,0,0,0,1,0,0.99352,0.84713,0.85266,0.99352,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:69
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,0.94378,0.84525,0.89560,0.94378,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:67
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,negative_label_baseline,0.00,1,0,0,0,1,0,0.92984,0.84525,0.90902,0.92984,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:67
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,0.94368,0.84525,0.89570,0.94368,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:67
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,risk_filter_uncertainty,0.00,1,0,0,0,1,0,0.95943,0.84525,0.88099,0.95943,1.00000,1.00000,1.00000,0.01347,0.10663,0.09136,0.00000,0,5,none,a0:none:67
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,constraint_classifier,0.00,1,0,0,0,1,0,0.94506,0.84525,0.89438,0.94506,1.00000,1.00000,1.00000,0.00138,0.02204,0.00000,0.00000,0,5,none,a0:none:67
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,abort_constraint_discovery,0.00,1,0,0,0,1,0,0.95292,0.84525,0.88701,0.95292,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:67
0,4,nominal_known_constraints_0_4_0,nominal_known_constraints,oracle_constraints,0.00,1,0,0,0,1,0,0.98901,0.84525,0.85464,0.98901,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:67
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,1.02365,0.85428,0.83454,1.02365,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:71
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,negative_label_baseline,0.00,1,0,0,0,1,0,0.98303,0.85428,0.86903,0.98303,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:71
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,1.00047,0.85428,0.85388,1.00047,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:71
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,risk_filter_uncertainty,0.00,1,0,0,0,1,0,0.99778,0.85428,0.85619,0.99778,1.00000,1.00000,1.00000,0.01342,0.10633,0.09872,0.00000,0,5,none,a0:none:71
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,constraint_classifier,0.00,1,0,0,0,1,0,1.00250,0.85428,0.85215,1.00250,1.00000,1.00000,1.00000,0.00130,0.02099,0.00000,0.00000,0,5,none,a0:none:71
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,abort_constraint_discovery,0.00,1,0,0,0,1,0,0.98667,0.85428,0.86582,0.98667,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:71
0,5,nominal_known_constraints_0_5_0,nominal_known_constraints,oracle_constraints,0.00,1,0,0,0,1,0,0.99819,0.85428,0.85583,0.99819,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:71
0,6,nominal_known_constraints_0_6_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,0.94467,0.83364,0.88247,0.94467,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:66
0,6,nominal_known_constraints_0_6_0,nominal_known_constraints,negative_label_baseline,0.00,1,0,0,0,1,0,0.92362,0.83364,0.90258,0.92362,1.00000,0.00000,0.00000,0.00212,0.00653,0.02327,0.00277,1,4,none,a0:none:66
0,6,nominal_known_constraints_0_6_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,1.02347,0.83364,0.81453,1.02347,1.00000,0.00000,0.00000,0.01035,0.02524,0.03117,0.01593,1,4,none,a0:none:74
0,6,nominal_known_constraints_0_6_0,nominal_known_constraints,risk_filter_uncertainty,0.00,1,0,0,0,1,0,1.12766,0.83364,0.73927,1.12766,1.00000,0.00000,0.00000,0.02537,0.12540,0.11655,0.02008,1,4,none,a0:none:78
0,6,nominal_known_constraints_0_6_0,nominal_known_constraints,constraint_classifier,0.00,1,0,0,0,1,0,1.04105,0.83364,0.80077,1.04105,1.00000,0.00000,0.00000,0.02341,0.07346,0.08281,0.02632,1,4,none,a0:none:74
0,6,nominal_known_constraints_0_6_0,nominal_known_constraints,abort_constraint_discovery,0.00,1,0,0,0,1,0,0.93979,0.83364,0.88705,0.93979,1.00000,0.00000,0.00000,0.00084,0.00246,0.00168,0.00139,1,4,none,a0:none:66
0,6,nominal_known_constraints_0_6_0,nominal_known_constraints,oracle_constraints,0.00,1,0,0,0,1,0,0.94462,0.83364,0.88252,0.94462,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,1,4,none,a0:none:66
0,7,nominal_known_constraints_0_7_0,nominal_known_constraints,ignore_aborted_actions,0.00,1,0,0,0,1,0,0.96459,0.85062,0.88185,0.96459,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:69
0,7,nominal_known_constraints_0_7_0,nominal_known_constraints,negative_label_baseline,0.00,1,0,0,0,1,0,0.96395,0.85062,0.88243,0.96395,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:69
0,7,nominal_known_constraints_0_7_0,nominal_known_constraints,costmap_from_collisions,0.00,1,0,0,0,1,0,0.94022,0.85062,0.90470,0.94022,1.00000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0,5,none,a0:none:69
