method,split,seed,episodes,success,aborted,repeated_abort,violation,abstained,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area,tail_risk
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,5,10,0.70000,0.30000,0.00000,0.20000,0.30000,0.27324,2.16915,0.21502,0.44185,0.28458,0.15665,0.21646,0.44274,0.27694,0.30000
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,6,10,0.60000,0.40000,0.30000,0.30000,0.40000,0.23131,2.55785,0.20776,0.39116,0.24570,0.16219,0.18635,0.47261,0.25625,0.40000
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,7,10,0.70000,0.50000,0.40000,0.50000,0.30000,0.21226,4.19080,0.10334,0.40703,0.25896,0.17972,0.23848,0.41897,0.30175,0.30000
abort_discovery_v5_no_calibration,combined_abort_stress,0,10,0.30000,0.20000,0.10000,0.20000,0.70000,0.13668,1.48485,0.50384,0.36026,0.22102,0.19137,0.23233,0.76577,0.29544,0.70000
abort_discovery_v5_no_calibration,combined_abort_stress,1,10,0.30000,0.40000,0.30000,0.40000,0.60000,0.06627,3.44523,0.49815,0.41559,0.26316,0.17781,0.21897,0.68785,0.29275,0.70000
abort_discovery_v5_no_calibration,combined_abort_stress,2,10,0.60000,0.10000,0.10000,0.10000,0.40000,0.20690,2.08078,0.31892,0.39755,0.24927,0.18248,0.22811,0.48475,0.30544,0.40000
abort_discovery_v5_no_calibration,combined_abort_stress,3,10,0.70000,0.30000,0.20000,0.30000,0.30000,0.20879,3.79951,0.20441,0.43966,0.28203,0.17713,0.24536,0.42868,0.32675,0.30000
abort_discovery_v5_no_calibration,combined_abort_stress,4,10,0.30000,0.40000,0.10000,0.20000,0.70000,0.16702,1.74681,0.39521,0.38928,0.24321,0.17780,0.21040,0.71651,0.28006,0.70000
abort_discovery_v5_no_calibration,combined_abort_stress,5,10,0.60000,0.00000,0.00000,0.00000,0.40000,0.21792,1.53603,0.41480,0.42471,0.27038,0.16819,0.22999,0.50657,0.29394,0.40000
abort_discovery_v5_no_calibration,combined_abort_stress,6,10,0.40000,0.40000,0.30000,0.40000,0.50000,0.19818,2.31875,0.30907,0.37621,0.23441,0.17424,0.20030,0.57228,0.26894,0.60000
abort_discovery_v5_no_calibration,combined_abort_stress,7,10,0.60000,0.30000,0.20000,0.30000,0.40000,0.21733,2.53476,0.20938,0.39858,0.25208,0.18768,0.24905,0.48104,0.31156,0.40000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,0,10,0.30000,0.70000,0.30000,0.50000,0.50000,0.11834,3.68413,0.29223,0.37605,0.23338,0.16374,0.17490,0.58639,0.23112,0.70000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,1,10,0.30000,0.50000,0.30000,0.40000,0.50000,0.12261,2.98786,0.39726,0.42342,0.27080,0.14588,0.14499,0.59991,0.21212,0.70000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,2,10,0.50000,0.50000,0.40000,0.50000,0.40000,0.22690,3.51083,0.10803,0.39329,0.24613,0.16306,0.17613,0.46469,0.25038,0.50000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,3,10,0.60000,0.40000,0.40000,0.40000,0.30000,0.26703,3.20904,0.00464,0.42388,0.27245,0.13843,0.14031,0.35827,0.21113,0.40000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,4,10,0.60000,0.30000,0.20000,0.20000,0.20000,0.24385,2.84109,0.20150,0.36426,0.22364,0.16025,0.16531,0.33407,0.22606,0.40000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,5,10,0.70000,0.30000,0.20000,0.20000,0.30000,0.24645,2.52661,0.20740,0.45222,0.29439,0.12462,0.12298,0.35547,0.19044,0.30000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,6,10,0.60000,0.30000,0.20000,0.10000,0.40000,0.26855,2.36320,0.20878,0.39491,0.24788,0.14844,0.14871,0.44887,0.21544,0.40000
abort_discovery_v5_no_dynamic_contact_features,combined_abort_stress,7,10,0.50000,0.50000,0.50000,0.50000,0.20000,0.20999,4.14953,0.10588,0.39232,0.24743,0.16035,0.17491,0.34877,0.23762,0.50000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,0,10,0.60000,0.80000,0.70000,0.80000,0.00000,0.21882,4.64667,-0.00947,0.40840,0.25845,0.09962,0.07190,0.11207,0.09188,0.40000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,1,10,0.60000,0.60000,0.50000,0.40000,0.00000,0.27178,3.74035,0.00291,0.39027,0.24387,0.09728,0.05965,0.09623,0.08063,0.40000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,2,10,0.60000,0.90000,0.70000,0.80000,0.00000,0.19938,4.61601,-0.01167,0.40530,0.25552,0.09431,0.06045,0.11262,0.08956,0.40000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,3,10,0.90000,0.60000,0.40000,0.50000,0.00000,0.29218,3.73338,0.00242,0.38428,0.24036,0.09549,0.05854,0.07415,0.09194,0.10000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,4,10,0.60000,0.70000,0.70000,0.60000,0.00000,0.23778,4.80125,-0.00611,0.36998,0.22839,0.10084,0.06769,0.10084,0.08906,0.40000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,5,10,0.60000,0.60000,0.60000,0.60000,0.00000,0.25837,4.49373,0.00087,0.44151,0.28693,0.08965,0.06232,0.09493,0.09137,0.40000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,6,10,0.80000,0.60000,0.30000,0.40000,0.00000,0.33890,3.16510,0.00692,0.37619,0.23512,0.09245,0.05609,0.08317,0.08000,0.20000
abort_discovery_v5_no_partial_geometry,combined_abort_stress,7,10,0.70000,0.70000,0.60000,0.60000,0.00000,0.25999,4.13454,-0.00517,0.37802,0.23444,0.10009,0.06963,0.12112,0.09431,0.30000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,0,10,0.40000,0.30000,0.20000,0.30000,0.40000,0.16326,3.06210,0.30466,0.37147,0.23024,0.18121,0.22149,0.53839,0.27919,0.60000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,1,10,0.40000,0.50000,0.20000,0.30000,0.50000,0.14669,3.26173,0.40413,0.43434,0.27891,0.16713,0.21034,0.60380,0.27669,0.60000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,2,10,0.60000,0.50000,0.20000,0.30000,0.40000,0.27206,2.97955,0.00927,0.41642,0.26448,0.16964,0.21461,0.48450,0.28719,0.40000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,3,10,0.80000,0.40000,0.30000,0.40000,0.20000,0.28954,3.13501,0.00787,0.45411,0.29452,0.16282,0.22925,0.35202,0.29938,0.20000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,4,10,0.60000,0.40000,0.20000,0.30000,0.20000,0.28924,3.06825,0.09965,0.40513,0.25621,0.16240,0.19316,0.40583,0.25694,0.40000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,5,10,0.70000,0.10000,0.00000,0.00000,0.30000,0.29876,1.80495,0.21684,0.44421,0.28647,0.15466,0.21395,0.44520,0.27031,0.30000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,6,10,0.60000,0.30000,0.30000,0.30000,0.40000,0.23172,2.48917,0.20728,0.38987,0.24478,0.16297,0.19152,0.49736,0.25325,0.40000
abort_discovery_v5_no_repeated_abort_memory,combined_abort_stress,7,10,0.70000,0.50000,0.30000,0.50000,0.30000,0.22252,3.87782,0.11378,0.42093,0.27065,0.17471,0.24054,0.41487,0.29644,0.30000
abort_discovery_v5_no_safety_margin,combined_abort_stress,0,10,0.80000,0.40000,0.20000,0.40000,0.00000,0.31612,3.28981,0.01618,0.41331,0.26218,0.14172,0.17247,0.15664,0.22219,0.20000
abort_discovery_v5_no_safety_margin,combined_abort_stress,1,10,0.90000,0.50000,0.20000,0.40000,0.00000,0.32813,3.37122,0.01155,0.43491,0.27976,0.13160,0.15318,0.10738,0.19900,0.10000
abort_discovery_v5_no_safety_margin,combined_abort_stress,2,10,0.90000,0.60000,0.40000,0.60000,0.00000,0.32297,3.51809,0.01067,0.44125,0.28562,0.13144,0.16241,0.11398,0.21181,0.10000
abort_discovery_v5_no_safety_margin,combined_abort_stress,3,10,0.90000,0.50000,0.40000,0.50000,0.00000,0.28390,3.97696,0.00805,0.49183,0.32663,0.13143,0.18507,0.15127,0.24944,0.10000
abort_discovery_v5_no_safety_margin,combined_abort_stress,4,10,0.60000,0.50000,0.50000,0.50000,0.00000,0.25639,4.19715,0.00427,0.43634,0.28203,0.12424,0.13837,0.14110,0.18625,0.40000
abort_discovery_v5_no_safety_margin,combined_abort_stress,5,10,1.00000,0.20000,0.10000,0.20000,0.00000,0.37813,2.77535,0.02340,0.45986,0.29933,0.13135,0.18103,0.16424,0.22837,0.00000
abort_discovery_v5_no_safety_margin,combined_abort_stress,6,10,0.80000,0.60000,0.60000,0.60000,0.00000,0.25266,4.56884,-0.00404,0.41056,0.26188,0.13024,0.14402,0.14899,0.19044,0.20000
abort_discovery_v5_no_safety_margin,combined_abort_stress,7,10,0.90000,0.50000,0.10000,0.40000,0.00000,0.35943,2.68092,0.01200,0.43787,0.28552,0.13382,0.17548,0.14156,0.21625,0.10000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,0,10,0.40000,0.50000,0.30000,0.50000,0.50000,0.13507,3.81112,0.30038,0.37152,0.23026,0.18813,0.23673,0.62417,0.29756,0.60000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,1,10,0.40000,0.50000,0.10000,0.30000,0.60000,0.17413,2.49732,0.40423,0.42944,0.27461,0.17301,0.22017,0.67787,0.29019,0.60000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,2,10,0.60000,0.40000,0.20000,0.20000,0.40000,0.24376,2.85066,0.11374,0.40879,0.25811,0.17401,0.21985,0.48494,0.29381,0.40000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,3,10,0.90000,0.30000,0.20000,0.30000,0.10000,0.30704,2.97342,0.00447,0.45522,0.29517,0.16172,0.22523,0.26747,0.29919,0.10000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,4,10,0.70000,0.40000,0.20000,0.30000,0.20000,0.25381,3.07682,0.20212,0.40000,0.25203,0.16469,0.19826,0.38336,0.26331,0.30000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,5,10,0.70000,0.20000,0.00000,0.20000,0.30000,0.28458,2.06386,0.21337,0.44175,0.28446,0.15825,0.21939,0.44429,0.27819,0.30000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,6,10,0.60000,0.30000,0.30000,0.20000,0.40000,0.23491,2.74181,0.21122,0.39313,0.24729,0.16373,0.19457,0.47129,0.25657,0.40000
abort_discovery_v5_no_uncertainty_quantile,combined_abort_stress,7,10,0.60000,0.50000,0.30000,0.50000,0.30000,0.20996,3.73550,0.10776,0.40862,0.26054,0.18082,0.24442,0.42267,0.30044,0.40000
