method,split,seed,episodes,success,aborted,repeated_abort,violation,abstained,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area,tail_risk
abort_discovery_v5_endpoint_only,combined_abort_stress,0,10,0.40000,0.90000,0.80000,0.90000,0.00000,0.16424,4.88803,-0.01057,0.35277,0.21515,0.09303,0.06088,0.09773,0.06569,0.60000
abort_discovery_v5_endpoint_only,combined_abort_stress,1,10,0.40000,0.90000,0.80000,0.90000,0.00000,0.17906,4.61430,-0.00828,0.36640,0.22482,0.09176,0.05551,0.08434,0.06150,0.60000
abort_discovery_v5_endpoint_only,combined_abort_stress,2,10,0.60000,0.90000,0.80000,0.90000,0.00000,0.19253,4.74361,-0.01085,0.36546,0.22517,0.08845,0.05456,0.07484,0.06169,0.40000
abort_discovery_v5_endpoint_only,combined_abort_stress,3,10,0.40000,1.00000,0.90000,1.00000,0.00000,0.13396,5.44413,-0.01860,0.37038,0.22866,0.08764,0.04991,0.09754,0.06550,0.60000
abort_discovery_v5_endpoint_only,combined_abort_stress,4,10,0.50000,0.90000,0.80000,0.80000,0.00000,0.17784,5.12010,-0.01788,0.34817,0.21253,0.09515,0.06383,0.10038,0.06306,0.50000
abort_discovery_v5_endpoint_only,combined_abort_stress,5,10,0.40000,0.80000,0.80000,0.80000,0.00000,0.17500,4.96452,-0.00398,0.36887,0.22823,0.08573,0.04985,0.08858,0.06262,0.60000
abort_discovery_v5_endpoint_only,combined_abort_stress,6,10,0.70000,0.80000,0.60000,0.70000,0.00000,0.23186,4.57321,-0.01111,0.33095,0.19926,0.09205,0.06065,0.07534,0.06219,0.30000
abort_discovery_v5_endpoint_only,combined_abort_stress,7,10,0.70000,0.70000,0.50000,0.60000,0.00000,0.27551,3.89800,-0.00017,0.33540,0.20299,0.09140,0.06067,0.07709,0.05787,0.30000
abort_discovery_v5_full,combined_abort_stress,0,10,0.50000,0.40000,0.40000,0.30000,0.50000,0.14909,3.12292,0.30409,0.37474,0.23270,0.18844,0.23750,0.61996,0.29950,0.50000
abort_discovery_v5_full,combined_abort_stress,1,10,0.30000,0.30000,0.10000,0.20000,0.60000,0.11521,2.44902,0.50034,0.43463,0.27880,0.16631,0.20742,0.67683,0.27325,0.70000
abort_discovery_v5_full,combined_abort_stress,2,10,0.60000,0.10000,0.10000,0.10000,0.40000,0.21316,2.21152,0.31711,0.40909,0.25830,0.17298,0.21854,0.48259,0.29250,0.40000
abort_discovery_v5_full,combined_abort_stress,3,10,0.80000,0.20000,0.10000,0.10000,0.20000,0.25338,2.56231,0.20712,0.45493,0.29485,0.16162,0.22564,0.34842,0.29912,0.20000
abort_discovery_v5_full,combined_abort_stress,4,10,0.70000,0.10000,0.00000,0.10000,0.30000,0.25891,1.97267,0.30619,0.39124,0.24508,0.16525,0.19506,0.42615,0.25881,0.30000
abort_discovery_v5_full,combined_abort_stress,5,10,0.70000,0.10000,0.00000,0.00000,0.30000,0.23222,2.08091,0.31349,0.44164,0.28429,0.15843,0.21984,0.42138,0.27819,0.30000
abort_discovery_v5_full,combined_abort_stress,6,10,0.50000,0.40000,0.20000,0.40000,0.50000,0.20332,2.43975,0.30322,0.38969,0.24451,0.16365,0.19298,0.54663,0.25600,0.50000
abort_discovery_v5_full,combined_abort_stress,7,10,0.70000,0.50000,0.20000,0.30000,0.30000,0.22104,3.57022,0.10963,0.40925,0.26103,0.18040,0.24498,0.41786,0.29944,0.30000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,0,10,0.30000,0.20000,0.00000,0.00000,0.70000,0.10703,1.21250,0.60374,0.34332,0.20878,0.19245,0.21292,0.73428,0.26931,0.70000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,1,10,0.30000,0.20000,0.20000,0.20000,0.70000,0.12098,1.56011,0.60017,0.36926,0.22683,0.17788,0.18283,0.74950,0.25487,0.70000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,2,10,0.30000,0.70000,0.20000,0.50000,0.50000,0.22593,3.70684,0.11241,0.35031,0.21308,0.19887,0.22322,0.57751,0.30287,0.70000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,3,10,0.60000,0.40000,0.10000,0.40000,0.30000,0.20890,3.63024,0.20643,0.35826,0.21918,0.18825,0.20485,0.37252,0.28813,0.40000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,4,10,0.60000,0.40000,0.40000,0.40000,0.30000,0.17091,3.02094,0.29643,0.34340,0.20832,0.19654,0.21733,0.40662,0.28263,0.40000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,5,10,0.60000,0.20000,0.10000,0.20000,0.40000,0.19318,2.08603,0.41175,0.37959,0.23640,0.17996,0.20088,0.49362,0.27375,0.40000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,6,10,0.60000,0.30000,0.00000,0.10000,0.40000,0.22725,1.98039,0.30883,0.33852,0.20573,0.19304,0.21554,0.48558,0.28281,0.40000
abort_discovery_v5_no_abort_reason_labels,combined_abort_stress,7,10,0.30000,0.20000,0.10000,0.20000,0.70000,0.13818,1.85313,0.50794,0.33593,0.20339,0.19469,0.21587,0.73274,0.28175,0.70000
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,0,10,0.30000,0.40000,0.30000,0.40000,0.50000,0.15983,3.06691,0.30312,0.37907,0.23587,0.18022,0.22305,0.62086,0.28800,0.70000
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,1,10,0.30000,0.50000,0.20000,0.40000,0.60000,0.14825,2.82328,0.40257,0.42930,0.27434,0.16629,0.20499,0.67178,0.27512,0.70000
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,2,10,0.60000,0.40000,0.30000,0.20000,0.40000,0.23915,2.80319,0.10937,0.41167,0.26060,0.17101,0.21340,0.48406,0.28850,0.40000
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,3,10,0.80000,0.40000,0.10000,0.20000,0.20000,0.31692,2.76644,0.00771,0.45643,0.29623,0.15850,0.21890,0.35112,0.29462,0.20000
abort_discovery_v5_no_barrier_inflation,combined_abort_stress,4,10,0.70000,0.40000,0.30000,0.40000,0.30000,0.26218,2.74551,0.20423,0.40089,0.25283,0.16188,0.18948,0.42874,0.26019,0.30000
