seed,scenario,layout_id,split,method,stress_level,risk_budget,success,aborted,repeated_abort,violation,attempts,abstained,path_length,straight_line,path_efficiency,completion_time,safety_margin,boundary_f1,boundary_iou,calibration_brier,calibration_ece,chosen_path_risk,discovered_area,evidence_aborts,evidence_successes,final_abort_reason,trajectory
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,constraint_classifier,0.55,0.08,1,1,1,1,3,0,5.52945,0.82617,0.14941,6.08945,-0.01610,0.43034,0.27417,0.16215,0.18981,0.23626,0.30500,11,0,none,a0:collision_margin:35;a1:unstable_slip:88;a2:none:91
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,risk_filter_uncertainty,0.55,0.08,0,1,1,1,6,0,4.90228,0.82617,0.05898,6.22228,-0.02508,0.36283,0.22162,0.12987,0.07018,0.24706,0.13437,11,0,collision_margin,a0:collision_margin:35;a1:fixture_snag:43;a2:collision_margin:32;a3:collision_margin:40;a4:collision_margin:28;a5:collision_margin:29
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,robust_barrier_mpc,0.55,0.08,1,1,1,1,5,0,6.87429,0.82617,0.12018,7.99429,-0.02156,0.34934,0.21164,0.17987,0.20346,0.16464,0.28125,11,0,none,a0:collision_margin:37;a1:human_stop:25;a2:fixture_snag:51;a3:visible_collision:66;a4:none:103
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,conformal_abort_risk_filter,0.55,0.08,0,1,1,1,6,0,5.99852,0.82617,0.04821,7.31852,-0.02026,0.37759,0.23274,0.13631,0.10925,0.17729,0.15313,11,0,human_stop,a0:collision_margin:36;a1:visible_collision:66;a2:collision_margin:30;a3:collision_margin:30;a4:collision_margin:30;a5:human_stop:53
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,kernel_trace_constraint_classifier,0.55,0.08,0,1,1,1,6,0,11.30176,0.82617,0.02559,12.62176,-0.00928,0.24565,0.14002,0.31206,0.33379,0.12785,0.42688,11,0,unstable_slip,a0:collision_margin:37;a1:fixture_snag:47;a2:visible_collision:78;a3:visible_collision:103;a4:visible_collision:65;a5:unstable_slip:120
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,particle_constraint_belief,0.55,0.08,1,1,1,1,3,0,6.14821,0.82617,0.13438,6.70821,-0.00244,0.38339,0.23715,0.15015,0.15117,0.17584,0.24313,11,0,none,a0:unstable_slip:99;a1:visible_collision:67;a2:none:96
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,abort_constraint_discovery_v5,0.55,0.08,0,1,1,1,6,0,8.29605,0.82617,0.03486,9.61605,-0.01959,0.43628,0.27900,0.20948,0.26762,0.29088,0.39625,11,0,visible_collision,a0:visible_collision:45;a1:visible_collision:31;a2:visible_collision:48;a3:unstable_slip:91;a4:collision_margin:53;a5:visible_collision:63
0,11080,combined_abort_stress_0_11080_0,combined_abort_stress,oracle_constraints,0.55,0.08,1,0,0,0,1,0,2.28220,0.82617,0.36201,2.28220,0.00150,1.00000,1.00000,0.02210,0.07082,0.03885,0.14813,11,0,none,a0:none:90
0,11081,combined_abort_stress_0_11081_0,combined_abort_stress,constraint_classifier,0.55,0.08,1,0,0,0,1,0,2.71207,0.85150,0.31397,2.71207,0.01712,0.39243,0.24411,0.14804,0.12937,0.09804,0.22687,11,0,none,a0:none:112
0,11081,combined_abort_stress_0_11081_0,combined_abort_stress,risk_filter_uncertainty,0.55,0.08,1,0,0,0,1,0,2.61780,0.85150,0.32528,2.61780,0.00001,0.40741,0.25581,0.11205,0.08506,0.11195,0.13375,11,0,none,a0:none:101
0,11081,combined_abort_stress_0_11081_0,combined_abort_stress,robust_barrier_mpc,0.55,0.08,1,0,0,0,1,0,2.77403,0.85150,0.30696,2.77403,0.01813,0.38023,0.23474,0.13588,0.12435,0.07727,0.19250,11,0,none,a0:none:112
0,11081,combined_abort_stress_0_11081_0,combined_abort_stress,conformal_abort_risk_filter,0.55,0.08,1,0,0,0,1,0,2.97534,0.85150,0.28619,2.97534,0.02203,0.41608,0.26269,0.11411,0.07038,0.08227,0.12812,11,0,none,a0:none:112
0,11081,combined_abort_stress_0_11081_0,combined_abort_stress,kernel_trace_constraint_classifier,0.55,0.08,1,0,0,0,1,0,2.87397,0.85150,0.29628,2.87397,0.00672,0.32586,0.19464,0.19593,0.18285,0.06300,0.28187,11,0,none,a0:none:115
0,11081,combined_abort_stress_0_11081_0,combined_abort_stress,particle_constraint_belief,0.55,0.08,1,0,0,0,1,0,2.77379,0.85150,0.30698,2.77379,0.02865,0.41075,0.25845,0.13014,0.11345,0.07296,0.18937,11,0,none,a0:none:115
0,11081,combined_abort_stress_0_11081_0,combined_abort_stress,abort_constraint_discovery_v5,0.55,0.08,0,0,0,0,1,1,0.00000,0.85150,0.00000,0.12000,1.00000,0.49922,0.33264,0.15180,0.18375,1.00000,0.26438,11,0,no_path,a0:no_path
