method,split,seeds,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_aborted,ci95_aborted,mean_repeated_abort,ci95_repeated_abort,mean_violation,ci95_violation,mean_abstained,ci95_abstained,mean_path_efficiency,ci95_path_efficiency,mean_completion_time,ci95_completion_time,mean_safety_margin,ci95_safety_margin,mean_boundary_f1,ci95_boundary_f1,mean_boundary_iou,ci95_boundary_iou,mean_calibration_brier,ci95_calibration_brier,mean_calibration_ece,ci95_calibration_ece,mean_chosen_path_risk,ci95_chosen_path_risk,mean_discovered_area,ci95_discovered_area
abort_constraint_discovery,aggregate_hard_regime,8,0.90402,0.01864,0.09598,0.01864,0.34152,0.03133,0.15848,0.02682,0.27902,0.03558,0.02902,0.01312,0.44577,0.00830,2.63071,0.16232,0.09786,0.00674,0.42653,0.00670,0.27634,0.00563,0.09201,0.00199,0.13033,0.00466,0.10037,0.01140,0.16048,0.00584
abort_constraint_discovery_v5,aggregate_hard_regime,8,0.81696,0.03013,0.18304,0.03013,0.17411,0.04222,0.07589,0.02864,0.14062,0.03589,0.16518,0.02707,0.40689,0.01873,1.99197,0.15848,0.22785,0.03571,0.40551,0.00670,0.25967,0.00527,0.10878,0.00241,0.16798,0.00501,0.23568,0.02538,0.18705,0.00579
conformal_abort_risk_filter,aggregate_hard_regime,8,0.89286,0.01146,0.10714,0.01146,0.27232,0.03421,0.17411,0.02362,0.22991,0.03133,0.00000,0.00000,0.51367,0.01307,2.22399,0.10659,0.06751,0.00428,0.37741,0.00944,0.23722,0.00709,0.06777,0.00136,0.09817,0.00251,0.10180,0.00314,0.08690,0.00275
constraint_classifier,aggregate_hard_regime,8,0.87500,0.01620,0.12500,0.01620,0.29687,0.03910,0.18750,0.01984,0.24554,0.04849,0.00000,0.00000,0.50653,0.01506,2.25417,0.10304,0.06409,0.00350,0.35273,0.00946,0.21768,0.00716,0.09862,0.00243,0.14523,0.00433,0.12102,0.00458,0.17005,0.00455
costmap_from_collisions,aggregate_hard_regime,8,0.86161,0.01281,0.13839,0.01281,0.41295,0.03465,0.28795,0.03401,0.34375,0.05113,0.00000,0.00000,0.47872,0.01572,2.58789,0.12724,0.06024,0.00497,0.41468,0.01036,0.26636,0.00835,0.06010,0.00140,0.05987,0.00322,0.06083,0.00404,0.08629,0.00292
ignore_aborted_actions,aggregate_hard_regime,8,0.35938,0.02237,0.64062,0.02237,0.70982,0.01097,0.66964,0.01984,0.56473,0.02722,0.00000,0.00000,0.29173,0.01060,3.59124,0.07965,0.03474,0.00373,0.00000,0.00000,0.00000,0.00000,0.06544,0.00056,0.06544,0.00056,0.00000,0.00000,0.00000,0.00000
kernel_trace_constraint_classifier,aggregate_hard_regime,8,0.96205,0.01678,0.03795,0.01678,0.25670,0.04232,0.12946,0.02362,0.21875,0.03899,0.00223,0.00438,0.51616,0.01808,2.31129,0.20651,0.06542,0.00419,0.29821,0.00783,0.17755,0.00539,0.13118,0.00342,0.16635,0.00504,0.08100,0.00603,0.20723,0.00605
negative_label_baseline,aggregate_hard_regime,8,0.62723,0.03270,0.37277,0.03270,0.56920,0.03401,0.46652,0.03336,0.46875,0.02939,0.00000,0.00000,0.39736,0.01792,3.08545,0.11734,0.04012,0.00262,0.24301,0.00893,0.14314,0.00590,0.05226,0.00041,0.03957,0.00064,0.03474,0.00167,0.01786,0.00052
oracle_constraints,aggregate_hard_regime,8,0.95982,0.01957,0.04018,0.01957,0.18304,0.03223,0.11384,0.02469,0.17411,0.03668,0.00000,0.00000,0.56655,0.01093,1.93212,0.12485,0.07800,0.00426,1.00000,0.00000,1.00000,0.00000,0.01125,0.00009,0.03814,0.00027,0.00964,0.00098,0.06544,0.00056
particle_constraint_belief,aggregate_hard_regime,8,0.96205,0.02237,0.03795,0.02237,0.22768,0.03843,0.10714,0.03500,0.16518,0.04274,0.00000,0.00000,0.49888,0.01905,2.21793,0.17610,0.07651,0.00487,0.37198,0.00807,0.23194,0.00614,0.08442,0.00216,0.12595,0.00417,0.08500,0.00401,0.14086,0.00493
risk_filter_uncertainty,aggregate_hard_regime,8,0.85714,0.02385,0.14286,0.02385,0.37500,0.02475,0.25893,0.03172,0.27679,0.02646,0.00000,0.00000,0.48944,0.01092,2.47131,0.11414,0.05302,0.00384,0.39551,0.00817,0.25103,0.00631,0.06967,0.00094,0.11762,0.00161,0.14062,0.00291,0.09553,0.00238
robust_barrier_mpc,aggregate_hard_regime,8,0.95313,0.01612,0.04687,0.01612,0.24107,0.04287,0.11161,0.02169,0.20536,0.04583,0.00000,0.00000,0.48398,0.01721,2.25355,0.12661,0.08101,0.00608,0.36245,0.00914,0.22498,0.00709,0.09106,0.00226,0.13339,0.00371,0.09048,0.00359,0.16526,0.00427
